Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,55,1.96,42,3,4,1,2,3,8,0.29,6,0,0,0,1,1,Matches
Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,26,1.40,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0,Matches
Ángel\Angel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,92,3.83,62,15,6,6,3,0,6,0.25,4,1,1,0,0,0,Matches
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,21.6,61,2.82,39,13,3,2,1,3,8,0.37,7,0,1,0,0,0,Matches
Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,28,0.93,22,1,0,1,1,3,5,0.17,4,0,0,0,1,0,Matches
José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,21.9,65,2.96,34,1,8,7,15,0,11,0.50,5,1,0,2,3,0,Matches
Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
