Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,24,1996,33.3,4,10,4,40.0,0.30,0.12,0.40,1.00,7.3,0,0,0,2.1,2.1,0.21,1.9,1.9
Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,20,1999,24.7,1,19,6,31.6,0.77,0.24,0.05,0.17,11.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Isaac Lihadji\Isaac-Lihadji,fr FRA,MFDF,Lille,fr Ligue 1,18,2002,2.2,0,4,2,50.0,1.84,0.92,0.00,0.00,13.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6
Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,de Bundesliga,22,1998,4.2,0,6,3,50.0,1.43,0.71,0.00,0.00,17.3,1,0,0,0.6,0.6,0.10,-0.6,-0.6
Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,26,1994,28.7,1,4,1,25.0,0.14,0.03,0.25,1.00,5.9,0,0,0,0.7,0.7,0.17,0.3,0.3
Karol Linetty\Karol-Linetty,pl POL,MF,Torino,it Serie A,25,1995,20.4,1,7,3,42.9,0.34,0.15,0.14,0.33,17.1,0,0,0,0.8,0.8,0.11,0.2,0.2
Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,eng Premier League,27,1992,15.8,9,40,20,50.0,2.53,1.27,0.20,0.40,20.9,1,1,2,5.1,3.4,0.09,3.9,4.6
Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,it Serie A,22,1997,5.5,0,2,0,0.0,0.36,0.00,0.00,,9.3,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Pol Lirola\Pol-Lirola,es ESP,DF,Marseille,fr Ligue 1,22,1997,17.3,2,10,4,40.0,0.58,0.23,0.20,0.50,14.4,0,0,0,1.6,1.6,0.16,0.4,0.4
Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,eng Premier League,30,1989,13.8,0,5,0,0.0,0.36,0.00,0.00,,19.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,eng Premier League,26,1993,13.4,1,8,3,37.5,0.60,0.22,0.13,0.33,16.4,0,0,0,0.7,0.7,0.09,0.3,0.3
Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,26,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fernando Llorente\Fernando-Llorente,es ESP,FW,Udinese,it Serie A,35,1985,7.9,1,11,5,45.5,1.39,0.63,0.09,0.20,9.7,0,0,0,1.3,1.3,0.13,-0.3,-0.3
Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,it Serie A,35,1985,0.6,0,2,0,0.0,3.46,0.00,0.00,,8.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Marcos Llorente\Marcos-Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,25,1995,32.8,12,49,22,44.9,1.49,0.67,0.24,0.55,17.8,0,0,0,4.3,4.3,0.09,7.7,7.7
Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,33,1986,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,eng Premier League,24,1996,10.5,1,15,5,33.3,1.43,0.48,0.07,0.20,17.8,1,0,0,1.2,1.2,0.08,-0.2,-0.2
Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,25,1994,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,22,1998,32.0,4,41,9,22.0,1.28,0.28,0.05,0.22,21.0,6,2,2,4.2,2.7,0.07,-0.2,-0.7
Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,22,1998,12.5,1,12,4,33.3,0.96,0.32,0.08,0.25,18.7,0,0,0,0.7,0.7,0.06,0.3,0.3
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,eng Premier League,24,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,eng Premier League,24,1996,21.2,1,37,8,21.6,1.74,0.38,0.03,0.13,15.1,0,0,0,3.1,3.1,0.08,-2.1,-2.1
Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,de Bundesliga,27,1993,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,29,1990,7.1,0,2,0,0.0,0.28,0.00,0.00,,8.3,0,0,0,0.3,0.3,0.15,-0.3,-0.3
Shane Long\Shane-Long,ie IRL,FWMF,Southampton,eng Premier League,33,1987,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,19.1,0,0,0,0.0,0.0,0.02,0.0,0.0
Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,20,2000,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,22,1997,15.7,0,15,5,33.3,0.96,0.32,0.00,0.00,18.7,1,0,0,1.4,1.4,0.09,-1.4,-1.4
Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,eng Premier League,22,1997,30.5,4,68,21,30.9,2.23,0.69,0.06,0.19,17.1,3,0,1,5.5,4.8,0.07,-1.5,-0.8
Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,29,1990,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rony Lopes\Rony-Lopes,pt POR,FWMF,Nice,fr Ligue 1,24,1995,19.8,3,41,16,39.0,2.07,0.81,0.07,0.19,18.4,3,0,0,3.2,3.2,0.08,-0.2,-0.2
Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Huesca,es La Liga,36,1983,11.9,0,3,0,0.0,0.25,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,32,1988,5.3,1,10,2,20.0,1.87,0.37,0.10,0.50,14.6,0,0,0,1.3,1.3,0.13,-0.3,-0.3
Javi López\Javi-Lopez,es ESP,DFMF,Alavés,es La Liga,18,2002,2.8,0,1,1,100.0,0.36,0.36,0.00,0.00,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Maxime Lopez\Maxime-Lopez,fr FRA,FWMF,Marseille,fr Ligue 1,22,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxime Lopez\Maxime-Lopez,fr FRA,MF,Sassuolo,it Serie A,22,1997,20.7,2,11,4,36.4,0.53,0.19,0.18,0.50,18.0,0,0,0,1.6,1.6,0.14,0.4,0.4
Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,25,1994,20.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roberto López\Roberto-Lopez,es ESP,MFFW,Real Sociedad,es La Liga,20,2000,5.6,3,14,4,28.6,2.50,0.71,0.21,0.75,23.7,2,0,0,1.0,1.0,0.07,2.0,2.0
Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,24,1995,15.8,3,25,11,44.0,1.58,0.70,0.12,0.27,25.4,5,0,0,1.2,1.2,0.05,1.8,1.8
Dion Lopy\Dion-Lopy,sn SEN,MF,Reims,fr Ligue 1,18,2002,2.8,0,3,0,0.0,1.05,0.00,0.00,,20.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Jordan Lotomba\Jordan-Lotomba,ch SUI,DF,Nice,fr Ligue 1,21,1998,23.6,1,7,2,28.6,0.30,0.08,0.14,0.50,21.1,0,0,0,0.4,0.4,0.05,0.6,0.6
Adrien Louveau\Adrien-Louveau,fr FRA,DFMF,Lens,fr Ligue 1,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Imran Louza\Imran-Louza,fr FRA,MF,Nantes,fr Ligue 1,21,1999,26.4,7,31,10,32.3,1.17,0.38,0.06,0.20,27.5,4,5,5,5.8,2.0,0.07,1.2,0.0
Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,20,2000,15.4,0,1,0,0.0,0.06,0.00,0.00,,7.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,eng Premier League,23,1997,6.1,0,2,1,50.0,0.33,0.16,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,de Bundesliga,23,1997,0.9,0,1,0,0.0,1.06,0.00,0.00,,19.1,0,0,0,0.0,0.0,0.04,0.0,0.0
Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,31,1989,34.0,1,21,4,19.0,0.62,0.12,0.05,0.25,23.9,0,0,0,0.7,0.7,0.03,0.3,0.3
Anthony Lozano\Anthony-Lozano,hn HON,FWMF,Cádiz,es La Liga,27,1993,16.9,3,36,15,41.7,2.13,0.89,0.08,0.20,13.0,0,0,0,5.4,5.4,0.15,-2.4,-2.4
Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,25,1995,21.8,11,59,27,45.8,2.70,1.24,0.19,0.41,15.2,0,0,0,7.9,7.9,0.13,3.1,3.1
Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,de Bundesliga,21,1999,0.4,0,1,0,0.0,2.25,0.00,0.00,,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,22,1998,1.9,0,5,0,0.0,2.62,0.00,0.00,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jean Lucas\Jean-Lucas,br BRA,MF,Brest,fr Ligue 1,22,1998,11.2,0,20,5,25.0,1.78,0.45,0.00,0.00,24.7,5,0,0,1.1,1.1,0.05,-1.1,-1.1
Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23,1997,17.8,0,8,2,25.0,0.45,0.11,0.00,0.00,28.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,es La Liga,25,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,de Bundesliga,20,2000,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,25,1995,31.6,1,22,5,22.7,0.70,0.16,0.05,0.20,17.9,2,0,0,1.9,1.9,0.09,-0.9,-0.9
José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,33,1987,27.1,13,57,26,45.6,2.10,0.96,0.23,0.50,16.2,1,0,1,8.3,7.5,0.13,4.7,5.5
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,30,1990,27.0,1,4,1,25.0,0.15,0.04,0.25,1.00,26.8,0,0,0,0.4,0.4,0.10,0.6,0.6
Florentino Luís\Florentino-Luis,pt POR,MF,Monaco,fr Ligue 1,20,1999,2.7,0,1,0,0.0,0.37,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Luisinho\Luisinho,pt POR,DF,Huesca,es La Liga,35,1985,2.0,0,1,0,0.0,0.50,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Luismi\Luismi,es ESP,MFDF,Elche,es La Liga,28,1992,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,33,1987,15.5,1,15,2,13.3,0.97,0.13,0.07,0.50,17.5,3,0,0,0.9,0.9,0.06,0.1,0.1
Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,22,1998,30.9,0,26,7,26.9,0.84,0.23,0.00,0.00,22.4,1,0,0,1.5,1.5,0.06,-1.5,-1.5
Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,27,1993,32.0,24,89,42,47.2,2.78,1.31,0.20,0.43,13.7,1,6,6,22.7,18.1,0.21,1.3,-0.1
Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,22,1997,20.6,5,41,18,43.9,1.99,0.87,0.07,0.17,15.1,1,2,2,6.9,5.3,0.13,-1.9,-2.3
Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,23,1996,23.4,3,19,7,36.8,0.81,0.30,0.16,0.43,16.4,0,0,0,2.0,2.0,0.11,1.0,1.0
Senad Lulić\Senad-Lulic,ba BIH,DFMF,Lazio,it Serie A,34,1986,8.0,0,6,3,50.0,0.75,0.38,0.00,0.00,16.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4
John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,26,1994,22.6,0,19,4,21.1,0.84,0.18,0.00,0.00,23.2,1,0,1,2.0,1.3,0.07,-2.0,-1.3
Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,it Serie A,23,1996,20.9,0,5,1,20.0,0.24,0.05,0.00,0.00,18.5,0,0,0,0.7,0.7,0.13,-0.7,-0.7
Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,33,1987,30.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,23,1997,21.8,0,12,3,25.0,0.55,0.14,0.00,0.00,19.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,26,1993,26.9,4,28,7,25.0,1.04,0.26,0.14,0.57,20.3,9,0,0,1.9,1.9,0.07,2.1,2.1
Yann M'Vila\Yann-MVila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,21,1998,12.4,1,26,3,11.5,2.10,0.24,0.04,0.33,21.4,1,0,0,1.1,1.1,0.04,-0.1,-0.1
Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,27,1993,22.5,4,46,19,41.3,2.04,0.84,0.09,0.21,21.0,5,0,1,4.8,4.0,0.09,-0.8,0.0
Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,de Bundesliga,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luca Mack\Luca-Mack,de GER,MF,Stuttgart,de Bundesliga,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,21,1998,6.0,1,2,2,100.0,0.33,0.33,0.50,0.50,27.8,0,0,0,0.0,0.0,0.02,1.0,1.0
James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,eng Premier League,23,1996,23.3,8,74,24,32.4,3.17,1.03,0.11,0.33,23.9,13,0,0,4.4,4.4,0.06,3.6,3.6
Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,de Bundesliga,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,es La Liga,23,1997,21.8,1,11,5,45.5,0.50,0.23,0.09,0.20,18.4,0,0,0,0.7,0.7,0.06,0.3,0.3
Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,it Serie A,26,1993,24.2,1,9,2,22.2,0.37,0.08,0.11,0.50,7.2,0,0,0,1.1,1.1,0.13,-0.1,-0.1
Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,it Serie A,38,1982,3.3,0,2,0,0.0,0.61,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,it Serie A,22,1998,24.6,3,39,14,35.9,1.59,0.57,0.08,0.21,15.8,0,0,0,5.1,5.1,0.13,-2.1,-2.1
Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,35,1984,4.9,0,2,0,0.0,0.41,0.00,0.00,,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,it Serie A,24,1995,16.8,0,13,2,15.4,0.77,0.12,0.00,0.00,17.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,22,1998,6.7,0,9,1,11.1,1.34,0.15,0.00,0.00,26.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,27,1993,33.9,2,36,9,25.0,1.06,0.27,0.06,0.22,11.1,0,0,0,2.1,2.1,0.06,-0.1,-0.1
Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,20,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hicham Mahou\Hicham-Mahou,fr FRA,DF,Nice,fr Ligue 1,21,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,29,1991,21.7,9,58,22,37.9,2.68,1.02,0.16,0.41,16.5,3,0,0,5.6,5.6,0.10,3.4,3.4
Arne Maier\Arne-Maier,de GER,MF,Arminia,de Bundesliga,21,1999,11.5,0,11,2,18.2,0.96,0.17,0.00,0.00,19.9,2,0,0,0.4,0.4,0.03,-0.4,-0.4
Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,21,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,24,1996,29.9,1,25,6,24.0,0.84,0.20,0.04,0.17,18.0,0,0,0,2.0,2.0,0.08,-1.0,-1.0
Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,24,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,22,1997,5.4,0,2,1,50.0,0.37,0.18,0.00,0.00,20.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,eng Premier League,22,1997,13.7,0,10,3,30.0,0.73,0.22,0.00,0.00,22.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,21,1998,8.9,2,19,9,47.4,2.13,1.01,0.11,0.22,14.5,0,0,0,3.1,3.1,0.16,-1.1,-1.1
Josh Maja\Josh-Maja,ng NGA,FWMF,Fulham,eng Premier League,21,1998,9.0,3,20,7,35.0,2.22,0.78,0.10,0.29,14.0,0,1,1,4.8,4.0,0.20,-1.8,-2.0
Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,20,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,28,1991,6.1,1,9,2,22.2,1.47,0.33,0.00,0.00,19.0,0,1,1,1.6,0.9,0.10,-0.6,-0.9
Marco Majouga\Marco-Majouga,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,1.2,0,5,1,20.0,4.29,0.86,0.00,0.00,25.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MF,Udinese,it Serie A,22,1998,5.8,0,4,0,0.0,0.69,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,25,1995,30.3,1,16,4,25.0,0.53,0.13,0.06,0.25,15.8,0,0,0,1.8,1.8,0.12,-0.8,-0.8
Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,28,1991,13.4,0,5,1,20.0,0.37,0.07,0.00,0.00,7.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Adilson Malanda\Adilson-Malanda,fr FRA,MF,Nîmes,fr Ligue 1,18,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,es La Liga,27,1992,9.6,0,9,1,11.1,0.94,0.10,0.00,0.00,16.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Fiorentina,it Serie A,29,1991,2.3,0,2,0,0.0,0.87,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Kévin Malcuit\Kevin-Malcuit,ma MAR,MFFW,Napoli,it Serie A,29,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Maldini\Daniel-Maldini,it ITA,FWMF,Milan,it Serie A,18,2001,0.3,0,1,1,100.0,3.10,3.10,0.00,0.00,17.1,0,0,0,0.1,0.1,0.15,-0.1,-0.1
Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,Atalanta,it Serie A,27,1993,20.8,8,69,23,33.3,3.31,1.10,0.10,0.30,20.6,12,1,1,6.5,5.7,0.08,1.5,1.3
Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,de Bundesliga,28,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,29,1991,28.9,3,20,11,55.0,0.69,0.38,0.15,0.27,14.3,0,0,0,1.5,1.5,0.08,1.5,1.5
Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,es La Liga,24,1995,26.0,1,25,7,28.0,0.96,0.27,0.04,0.14,21.8,0,0,0,1.6,1.6,0.06,-0.6,-0.6
Dennis Man\Dennis-Man,ro ROU,FWMF,Parma,it Serie A,21,1998,7.8,2,19,6,31.6,2.45,0.77,0.11,0.33,15.0,0,0,0,2.1,2.1,0.11,-0.1,-0.1
Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,20,1999,5.1,0,4,1,25.0,0.79,0.20,0.00,0.00,22.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2
Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,31,1989,25.7,0,7,3,42.9,0.27,0.12,0.00,0.00,25.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Roma,it Serie A,24,1996,31.7,4,29,12,41.4,0.92,0.38,0.14,0.33,12.1,0,0,0,2.5,2.5,0.09,1.5,1.5
Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,35,1985,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,26,1994,24.2,0,4,0,0.0,0.17,0.00,0.00,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,28,1991,26.6,3,9,7,77.8,0.34,0.26,0.33,0.43,7.7,0,0,0,2.3,2.3,0.25,0.7,0.7
Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,23,1997,4.4,0,9,4,44.4,2.04,0.90,0.00,0.00,22.0,1,0,0,0.8,0.8,0.09,-0.8,-0.8
Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Torino,it Serie A,23,1997,16.9,3,27,8,29.6,1.59,0.47,0.11,0.38,19.8,1,0,0,2.1,2.1,0.08,0.9,0.9
Mario Mandžukić\Mario-Mandzukic,hr CRO,FW,Milan,it Serie A,34,1986,2.4,0,5,3,60.0,2.12,1.27,0.00,0.00,9.2,0,0,0,0.8,0.8,0.17,-0.8,-0.8
Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,28,1992,31.2,11,93,35,37.6,2.98,1.12,0.12,0.31,12.8,0,0,0,15.2,15.2,0.16,-4.2,-4.2
Niccolò Manfredini\Niccolo-Manfredini,it ITA,GK,Benevento,it Serie A,32,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,29,1991,3.6,0,2,0,0.0,0.56,0.00,0.00,,7.0,0,0,0,0.5,0.5,0.26,-0.5,-0.5
Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,de Bundesliga,22,1998,23.4,1,26,8,30.8,1.11,0.34,0.04,0.13,20.7,0,0,0,1.4,1.4,0.05,-0.4,-0.4
Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,33,1987,29.9,3,23,5,21.7,0.77,0.17,0.00,0.00,25.3,4,3,3,3.3,1.0,0.05,-0.3,-1.0
Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,29,1991,25.5,0,8,3,37.5,0.31,0.12,0.00,0.00,11.1,0,0,0,0.8,0.8,0.10,-0.8,-0.8
Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26,1994,9.2,0,1,0,0.0,0.11,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,it Serie A,23,1996,3.3,0,1,0,0.0,0.31,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,21,1999,12.0,3,19,4,21.1,1.59,0.33,0.16,0.75,16.5,0,0,0,2.8,2.8,0.15,0.2,0.2
Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22,1998,13.0,0,27,8,29.6,2.08,0.62,0.00,0.00,25.3,5,0,0,0.8,0.8,0.03,-0.8,-0.8
