Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,es La Liga,21,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bilal Benkhedim\Bilal-Benkhedim,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Djamel Benlamri\Djamel-Benlamri,dz ALG,DF,Lyon,fr Ligue 1,30,1989,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ismaël Bennacer\Ismael-Bennacer,dz ALG,MF,Milan,it Serie A,22,1997,14.7,0,12,1,8.3,0.81,0.07,0.00,0.00,25.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,eng Premier League,24,1995,15.5,1,35,11,31.4,2.26,0.71,0.03,0.09,19.9,1,0,0,2.3,2.3,0.07,-1.3,-1.3
Yassine Benrahou\Yassine-Benrahou,fr FRA,MF,Nîmes,fr Ligue 1,21,1999,13.8,0,19,4,21.1,1.38,0.29,0.00,0.00,23.7,5,0,0,0.8,0.8,0.04,-0.8,-0.8
Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,25,1995,20.1,4,21,7,33.3,1.04,0.35,0.14,0.43,14.6,0,1,1,2.3,1.6,0.07,1.7,1.4
Josh Benson\Josh-Benson,eng ENG,MF,Burnley,eng Premier League,20,1999,2.9,0,2,0,0.0,0.68,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2
Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,25,1994,6.1,0,0,0,,0.00,0.00,,,,0,0,1,0.8,0.0,,-0.8,0.0
Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,23,1997,25.8,0,15,5,33.3,0.58,0.19,0.00,0.00,22.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.30,11.5,0,0,0,8.1,8.1,0.11,1.9,1.9
Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,32,1987,32.2,23,122,50,41.0,3.79,1.55,0.18,0.44,15.1,6,1,1,17.8,17.0,0.14,5.2,5.0
Yassine Benzia\Yassine-Benzia,dz ALG,MFFW,Dijon,fr Ligue 1,25,1994,4.5,2,4,0,0.0,0.88,0.00,0.00,,26.5,0,2,2,1.8,0.3,0.08,0.2,-0.3
Alessandro Berardi\Alessandro-Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,it Serie A,25,1994,27.5,17,102,30,29.4,3.71,1.09,0.10,0.33,20.9,10,7,8,14.6,8.5,0.08,2.4,1.5
Gaetano Berardi\Gaetano-Berardi,ch SUI,DF,Leeds United,eng Premier League,31,1988,1.3,0,1,0,0.0,0.80,0.00,0.00,,9.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,es La Liga,30,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19.0,0,0,0,0.8,0.8,0.05,0.2,0.2
Álex Berenguer\Alex-Berenguer,es ESP,MF,Torino,it Serie A,25,1995,1.5,0,2,2,100.0,1.37,1.37,0.00,0.00,15.5,0,0,0,0.3,0.3,0.16,-0.3,-0.3
Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,es La Liga,25,1995,25.3,8,48,15,31.3,1.90,0.59,0.17,0.53,17.0,4,0,0,6.1,6.1,0.13,1.9,1.9
Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,28,1992,29.0,1,3,1,33.3,0.10,0.03,0.33,1.00,16.8,0,0,0,0.1,0.1,0.04,0.9,0.9
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,eng Premier League,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,19.9,1,0,0,1.7,1.7,0.09,0.3,0.3
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,eng Premier League,22,1998,12.4,1,9,1,11.1,0.72,0.08,0.00,0.00,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,22,1997,13.4,1,15,5,33.3,1.12,0.37,0.07,0.20,16.3,0,0,0,2.5,2.5,0.17,-1.5,-1.5
Valon Berisha\Valon-Berisha,xk KVX,MF,Reims,fr Ligue 1,27,1993,18.3,0,21,3,14.3,1.15,0.16,0.00,0.00,21.1,3,0,0,1.0,1.0,0.05,-1.0,-1.0
Bernard\Bernard,br BRA,MFFW,Everton,eng Premier League,27,1992,5.1,1,6,2,33.3,1.19,0.40,0.17,0.50,20.4,0,0,0,0.2,0.2,0.03,0.8,0.8
Federico Bernardeschi\Federico-Bernardeschi,it ITA,DFMF,Juventus,it Serie A,26,1994,10.8,0,13,6,46.2,1.20,0.56,0.00,0.00,17.4,0,0,0,1.5,1.5,0.12,-1.5,-1.5
Bernardo\Bernardo,br BRA,DFMF,Brighton,eng Premier League,25,1995,2.3,0,4,0,0.0,1.75,0.00,0.00,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Juan Bernat\Juan-Bernat,es ESP,DF,Paris S-G,fr Ligue 1,27,1993,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
