Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,Corner_In,Corner_Out,Corner_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Name_no_spec_chars
Bernd Leno,GER,GK,Arsenal,Premier League,28.0,1992.0,34.8,1156.0,860.0,296.0,70.0,1.0,85.0,21.0,0,0.0,0.0,0.0,0.0,775.0,32.0,349.0,129.0,831.0,2.0,0.0,166.0,922.0,1.0,30.0,3.0,1.0,Bernd Leno
Christopher Lenz,GER,DF,Union Berlin,Bundesliga,25.0,1994.0,25.0,1340.0,1061.0,279.0,16.0,3.0,200.0,34.0,72,3.0,1.0,2.0,0.0,696.0,238.0,406.0,768.0,220.0,51.0,260.0,10.0,976.0,6.0,30.0,37.0,63.0,Christopher Lenz
Pedro León,ESP,MFFW,Eibar,La Liga,33.0,1986.0,10.4,370.0,308.0,62.0,18.0,0.0,74.0,22.0,41,37.0,16.0,20.0,0.0,152.0,71.0,147.0,47.0,269.0,28.0,7.0,2.0,217.0,3.0,13.0,13.0,30.0,Pedro Leon
Sergio León,ESP,FW,Levante,La Liga,31.0,1989.0,8.3,137.0,129.0,8.0,0.0,1.0,36.0,3.0,4,0.0,0.0,0.0,0.0,90.0,27.0,20.0,12.0,112.0,6.0,0.0,2.0,97.0,2.0,3.0,2.0,8.0,Sergio Leon
Lukas Lerager,DEN,MF,Genoa,Serie A,27.0,1993.0,12.9,490.0,474.0,16.0,9.0,0.0,62.0,14.0,2,0.0,0.0,0.0,0.0,348.0,78.0,64.0,55.0,384.0,35.0,6.0,2.0,405.0,5.0,3.0,11.0,15.0,Lukas Lerager
Mehdi Léris,FRA,DFMF,Sampdoria,Serie A,22.0,1998.0,4.3,236.0,214.0,22.0,4.0,0.0,43.0,9.0,11,4.0,1.0,3.0,0.0,170.0,23.0,43.0,33.0,179.0,4.0,14.0,0.0,184.0,3.0,1.0,7.0,5.0,Mehdi Leris
Khanya Leshabela,RSA,MF,Leicester City,Premier League,20.0,1999.0,0.1,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,Khanya Leshabela
Karlo Letica,CRO,GK,Sampdoria,Serie A,23.0,1997.0,1.0,34.0,26.0,8.0,3.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,28.0,1.0,5.0,5.0,22.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,0.0,Karlo Letica
Gaetano Letizia,ITA,DF,Benevento,Serie A,30.0,1990.0,17.4,887.0,734.0,153.0,30.0,0.0,95.0,33.0,61,3.0,1.0,2.0,0.0,497.0,164.0,226.0,130.0,593.0,36.0,120.0,0.0,670.0,6.0,22.0,25.0,24.0,Gaetano Letizia
Robert Lewandowski,POL,FW,Bayern Munich,Bundesliga,31.0,1988.0,27.3,710.0,682.0,28.0,4.0,4.0,151.0,15.0,22,0.0,0.0,0.0,0.0,499.0,125.0,86.0,83.0,558.0,30.0,0.0,9.0,543.0,3.0,8.0,38.0,32.0,Robert Lewandowski
Jamal Lewis,NIR,DF,Newcastle Utd,Premier League,22.0,1998.0,20.4,833.0,669.0,164.0,10.0,0.0,79.0,9.0,32,0.0,0.0,0.0,0.0,462.0,181.0,190.0,574.0,67.0,29.0,154.0,1.0,635.0,2.0,21.0,18.0,33.0,Jamal Lewis
Aaron Leya Iseka,BEL,FW,Metz,Ligue 1,22.0,1997.0,11.2,199.0,191.0,8.0,0.0,3.0,56.0,2.0,4,0.0,0.0,0.0,0.0,129.0,38.0,32.0,19.0,143.0,9.0,0.0,8.0,151.0,1.0,4.0,6.0,6.0,Aaron Leya Iseka
Yanis Lhery,FRA,MFFW,Saint-Étienne,Ligue 1,17.0,2003.0,0.3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yanis Lhery
Dimitri Liénard,FRA,MF,Strasbourg,Ligue 1,32.0,1988.0,20.3,1154.0,1022.0,132.0,41.0,2.0,177.0,112.0,69,87.0,39.0,35.0,9.0,660.0,129.0,365.0,929.0,186.0,18.0,4.0,5.0,853.0,6.0,40.0,17.0,36.0,Dimitri Lienard
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,24.0,1996.0,33.3,1906.0,1814.0,92.0,76.0,0.0,161.0,72.0,1,0.0,0.0,0.0,0.0,1464.0,134.0,308.0,191.0,1577.0,83.0,16.0,8.0,1634.0,2.0,29.0,21.0,21.0,Philipp Lienhart
Matthijs de Ligt,NED,DF,Juventus,Serie A,20.0,1999.0,24.7,1702.0,1650.0,52.0,37.0,0.0,126.0,32.0,5,0.0,0.0,0.0,0.0,1484.0,77.0,141.0,326.0,1285.0,51.0,4.0,2.0,1587.0,4.0,12.0,18.0,5.0,Matthijs de Ligt
Isaac Lihadji,FRA,MFDF,Lille,Ligue 1,18.0,2002.0,2.2,108.0,98.0,10.0,3.0,0.0,15.0,5.0,5,3.0,2.0,1.0,0.0,78.0,15.0,15.0,76.0,20.0,4.0,4.0,1.0,75.0,0.0,2.0,6.0,5.0,Isaac Lihadji
Dimitris Limnios,GRE,MFFW,Köln,Bundesliga,22.0,1998.0,4.2,131.0,124.0,7.0,2.0,0.0,28.0,4.0,9,2.0,2.0,0.0,0.0,86.0,23.0,22.0,8.0,113.0,4.0,3.0,1.0,83.0,1.0,4.0,7.0,14.0,Dimitris Limnios
Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,26.0,1994.0,28.7,1800.0,1748.0,52.0,38.0,2.0,158.0,19.0,1,0.0,0.0,0.0,0.0,1497.0,130.0,173.0,271.0,1409.0,63.0,14.0,8.0,1640.0,1.0,15.0,21.0,16.0,Victor Lindelof
Karol Linetty,POL,MF,Torino,Serie A,25.0,1995.0,20.4,734.0,708.0,26.0,13.0,0.0,135.0,24.0,7,2.0,0.0,0.0,0.0,544.0,99.0,91.0,285.0,407.0,24.0,8.0,4.0,607.0,2.0,8.0,15.0,25.0,Karol Linetty
Jesse Lingard,ENG,MFFW,West Ham,Premier League,27.0,1992.0,15.8,669.0,609.0,60.0,14.0,2.0,108.0,11.0,23,12.0,5.0,4.0,0.0,498.0,78.0,93.0,58.0,586.0,10.0,10.0,5.0,544.0,4.0,8.0,33.0,16.0,Jesse Lingard
Pol Lirola,ESP,DFFW,Fiorentina,Serie A,22.0,1997.0,5.5,290.0,245.0,45.0,4.0,1.0,24.0,7.0,20,0.0,0.0,0.0,0.0,178.0,57.0,55.0,16.0,213.0,16.0,41.0,1.0,208.0,1.0,8.0,11.0,11.0,Pol Lirola
Pol Lirola,ESP,DF,Marseille,Ligue 1,22.0,1997.0,17.3,825.0,664.0,161.0,11.0,1.0,111.0,43.0,57,0.0,0.0,0.0,0.0,465.0,203.0,157.0,22.0,609.0,27.0,150.0,2.0,638.0,1.0,11.0,30.0,31.0,Pol Lirola
Jake Livermore,ENG,MF,West Brom,Premier League,30.0,1989.0,13.8,381.0,377.0,4.0,2.0,1.0,61.0,4.0,4,0.0,0.0,0.0,0.0,251.0,45.0,85.0,29.0,314.0,23.0,0.0,0.0,283.0,1.0,6.0,8.0,10.0,Jake Livermore
Diego Llorente,ESP,DF,Leeds United,Premier League,26.0,1993.0,13.4,665.0,642.0,23.0,23.0,2.0,66.0,18.0,2,0.0,0.0,0.0,0.0,523.0,55.0,87.0,135.0,504.0,16.0,0.0,1.0,568.0,1.0,6.0,19.0,12.0,Diego Llorente
Diego Llorente,ESP,DF,Real Sociedad,La Liga,26.0,1993.0,1.0,54.0,51.0,3.0,3.0,0.0,4.0,1.0,0,0.0,0.0,0.0,0.0,46.0,3.0,5.0,12.0,40.0,2.0,0.0,0.0,48.0,1.0,1.0,1.0,0.0,Diego Llorente
Fernando Llorente,ESP,FW,Udinese,Serie A,35.0,1985.0,7.9,221.0,205.0,16.0,0.0,0.0,77.0,1.0,1,0.0,0.0,0.0,0.0,127.0,51.0,43.0,30.0,131.0,17.0,0.0,11.0,162.0,0.0,3.0,5.0,5.0,Fernando Llorente
Fernando Llorente,ESP,FWMF,Napoli,Serie A,35.0,1985.0,0.6,21.0,21.0,0.0,0.0,0.0,7.0,0.0,1,0.0,0.0,0.0,0.0,11.0,6.0,4.0,6.0,7.0,2.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,Fernando Llorente
Marcos Llorente,ESP,MFDF,Atlético Madrid,La Liga,25.0,1995.0,32.8,1341.0,1295.0,46.0,7.0,4.0,268.0,33.0,72,1.0,0.0,1.0,0.0,1057.0,134.0,150.0,126.0,1127.0,31.0,34.0,6.0,1106.0,7.0,19.0,25.0,60.0,Marcos Llorente
Hugo Lloris,FRA,GK,Tottenham,Premier League,33.0,1986.0,38.0,1067.0,685.0,382.0,114.0,0.0,52.0,17.0,0,0.0,0.0,0.0,0.0,523.0,52.0,492.0,636.0,194.0,1.0,0.0,158.0,763.0,1.0,12.0,11.0,0.0,Hugo Lloris
Giovani Lo Celso,ARG,MF,Tottenham,Premier League,24.0,1996.0,10.5,589.0,535.0,54.0,22.0,2.0,108.0,16.0,3,26.0,19.0,1.0,6.0,418.0,74.0,97.0,519.0,46.0,8.0,1.0,6.0,465.0,2.0,4.0,22.0,17.0,Giovani Lo Celso
Stanislav Lobotka,SVK,MF,Napoli,Serie A,25.0,1994.0,1.7,127.0,126.0,1.0,1.0,0.0,18.0,4.0,0,0.0,0.0,0.0,0.0,106.0,13.0,8.0,12.0,111.0,2.0,0.0,0.0,114.0,0.0,1.0,4.0,1.0,Stanislav Lobotka
Manuel Locatelli,ITA,MF,Sassuolo,Serie A,22.0,1998.0,32.0,2785.0,2685.0,100.0,84.0,5.0,329.0,91.0,34,12.0,4.0,6.0,1.0,2201.0,206.0,378.0,526.0,2185.0,32.0,4.0,9.0,2436.0,8.0,23.0,54.0,37.0,Manuel Locatelli
