Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,Corner_In,Corner_Out,Corner_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Name_no_spec_chars
Renan Lodi,BRA,DF,Atlético Madrid,La Liga,22.0,1998.0,12.5,755.0,612.0,143.0,21.0,0.0,86.0,21.0,49,12.0,1.0,8.0,0.0,464.0,139.0,152.0,555.0,51.0,25.0,110.0,6.0,589.0,2.0,16.0,16.0,30.0,Renan Lodi
Ruben Loftus-Cheek,ENG,FW,Chelsea,Premier League,24.0,1996.0,0.7,16.0,16.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,14.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,Ruben Loftus Cheek
Ruben Loftus-Cheek,ENG,MFFW,Fulham,Premier League,24.0,1996.0,21.2,716.0,703.0,13.0,4.0,1.0,140.0,7.0,13,0.0,0.0,0.0,0.0,570.0,75.0,71.0,74.0,569.0,33.0,3.0,4.0,595.0,2.0,12.0,16.0,24.0,Ruben Loftus Cheek
Niklas Lomb,GER,GK,Leverkusen,Bundesliga,27.0,1993.0,1.5,60.0,49.0,11.0,4.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,41.0,2.0,17.0,4.0,42.0,0.0,0.0,14.0,48.0,0.0,0.0,0.0,0.0,Niklas Lomb
Kevin Long,IRL,DF,Burnley,Premier League,29.0,1990.0,7.1,255.0,251.0,4.0,3.0,0.0,35.0,12.0,1,0.0,0.0,0.0,0.0,145.0,19.0,91.0,14.0,189.0,35.0,1.0,0.0,181.0,0.0,8.0,2.0,5.0,Kevin Long
Shane Long,IRL,FWMF,Southampton,Premier League,33.0,1987.0,2.3,59.0,57.0,2.0,0.0,0.0,21.0,0.0,0,0.0,0.0,0.0,0.0,26.0,17.0,16.0,1.0,33.0,10.0,0.0,2.0,38.0,1.0,0.0,1.0,5.0,Shane Long
Matthew Longstaff,ENG,MF,Newcastle Utd,Premier League,20.0,2000.0,4.2,148.0,144.0,4.0,1.0,0.0,29.0,2.0,3,2.0,1.0,1.0,0.0,89.0,27.0,32.0,15.0,123.0,4.0,1.0,0.0,117.0,2.0,5.0,1.0,4.0,Matthew Longstaff
Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,22.0,1997.0,15.7,572.0,529.0,43.0,15.0,1.0,92.0,43.0,7,20.0,8.0,6.0,4.0,372.0,83.0,117.0,110.0,413.0,33.0,3.0,2.0,452.0,2.0,13.0,19.0,11.0,Sean Longstaff
Ademola Lookman,ENG,FWMF,Fulham,Premier League,22.0,1997.0,30.5,1168.0,1014.0,154.0,36.0,5.0,162.0,42.0,64,85.0,38.0,28.0,6.0,902.0,102.0,164.0,196.0,941.0,11.0,13.0,4.0,880.0,3.0,16.0,38.0,48.0,Ademola Lookman
Anthony Lopes,POR,GK,Lyon,Ligue 1,29.0,1990.0,38.0,1176.0,855.0,321.0,71.0,0.0,36.0,43.0,0,0.0,0.0,0.0,0.0,722.0,66.0,388.0,720.0,234.0,2.0,0.0,183.0,971.0,0.0,25.0,8.0,5.0,Anthony Lopes
Rony Lopes,POR,FWMF,Nice,Ligue 1,24.0,1995.0,19.8,775.0,667.0,108.0,33.0,3.0,152.0,45.0,37,60.0,32.0,17.0,1.0,541.0,91.0,143.0,625.0,112.0,15.0,13.0,4.0,590.0,1.0,13.0,22.0,28.0,Rony Lopes
Pedro López Muñoz,ESP,DF,Huesca,La Liga,36.0,1983.0,11.9,671.0,535.0,136.0,17.0,0.0,70.0,23.0,38,0.0,0.0,0.0,0.0,399.0,127.0,145.0,46.0,471.0,21.0,119.0,1.0,549.0,1.0,11.0,14.0,20.0,Pedro Lopez Munoz
Adrián López,ESP,FWMF,Osasuna,La Liga,32.0,1988.0,5.3,184.0,182.0,2.0,0.0,0.0,56.0,0.0,7,0.0,0.0,0.0,0.0,106.0,45.0,33.0,11.0,139.0,17.0,1.0,2.0,134.0,1.0,3.0,4.0,5.0,Adrian Lopez
Javi López,ESP,DFMF,Alavés,La Liga,18.0,2002.0,2.8,146.0,113.0,33.0,1.0,1.0,19.0,7.0,11,1.0,0.0,0.0,0.0,76.0,27.0,43.0,88.0,19.0,6.0,31.0,0.0,113.0,0.0,4.0,3.0,4.0,Javi Lopez
Maxime Lopez,FRA,MF,Sassuolo,Serie A,22.0,1997.0,20.7,1719.0,1663.0,56.0,26.0,1.0,177.0,24.0,12,25.0,8.0,13.0,0.0,1515.0,103.0,101.0,154.0,1529.0,23.0,5.0,5.0,1589.0,2.0,4.0,17.0,20.0,Maxime Lopez
Maxime Lopez,FRA,FWMF,Marseille,Ligue 1,22.0,1997.0,1.5,57.0,56.0,1.0,0.0,0.0,12.0,1.0,1,0.0,0.0,0.0,0.0,47.0,6.0,4.0,3.0,50.0,4.0,0.0,0.0,46.0,1.0,0.0,0.0,3.0,Maxime Lopez
Pau López,ESP,GK,Roma,Serie A,25.0,1994.0,20.2,663.0,525.0,138.0,37.0,0.0,68.0,10.0,0,0.0,0.0,0.0,0.0,424.0,30.0,209.0,384.0,160.0,0.0,0.0,107.0,531.0,0.0,12.0,2.0,0.0,Pau Lopez
Roberto López,ESP,MFFW,Real Sociedad,La Liga,20.0,2000.0,5.6,249.0,225.0,24.0,9.0,3.0,57.0,9.0,14,14.0,7.0,5.0,0.0,165.0,33.0,51.0,192.0,36.0,12.0,1.0,2.0,189.0,0.0,6.0,6.0,9.0,Roberto Lopez
Unai López,ESP,MF,Athletic Club,La Liga,24.0,1995.0,15.8,1006.0,945.0,61.0,37.0,2.0,119.0,62.0,16,15.0,6.0,3.0,1.0,662.0,143.0,201.0,31.0,936.0,28.0,2.0,3.0,845.0,5.0,15.0,23.0,19.0,Unai Lopez
Dion Lopy,SEN,MF,Reims,Ligue 1,18.0,2002.0,2.8,109.0,108.0,1.0,1.0,0.0,17.0,4.0,1,0.0,0.0,0.0,0.0,84.0,15.0,10.0,19.0,86.0,2.0,0.0,0.0,95.0,0.0,6.0,1.0,1.0,Dion Lopy
Jordan Lotomba,SUI,DF,Nice,Ligue 1,21.0,1998.0,23.6,1445.0,1177.0,268.0,29.0,1.0,160.0,18.0,43,0.0,0.0,0.0,0.0,944.0,312.0,189.0,104.0,1038.0,47.0,239.0,3.0,1185.0,1.0,18.0,42.0,42.0,Jordan Lotomba
Adrien Louveau,FRA,DFMF,Lens,Ligue 1,20.0,2000.0,0.1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Adrien Louveau
Imran Louza,FRA,MF,Nantes,Ligue 1,21.0,1999.0,26.4,1323.0,1195.0,128.0,73.0,4.0,145.0,54.0,30,40.0,22.0,15.0,3.0,876.0,151.0,296.0,992.0,248.0,53.0,8.0,4.0,1038.0,7.0,29.0,22.0,30.0,Imran Louza
Matteo Lovato,ITA,DF,Hellas Verona,Serie A,20.0,2000.0,15.4,632.0,595.0,37.0,32.0,0.0,89.0,8.0,3,0.0,0.0,0.0,0.0,436.0,72.0,124.0,89.0,463.0,43.0,5.0,1.0,513.0,1.0,14.0,7.0,9.0,Matteo Lovato
Max Lowe,ENG,DF,Sheffield Utd,Premier League,23.0,1997.0,6.1,223.0,193.0,30.0,2.0,0.0,31.0,7.0,17,2.0,0.0,2.0,0.0,135.0,41.0,47.0,169.0,15.0,9.0,26.0,0.0,145.0,2.0,5.0,12.0,13.0,Max Lowe
Eduard Löwen,GER,MFDF,Hertha BSC,Bundesliga,23.0,1997.0,0.9,69.0,64.0,5.0,1.0,0.0,8.0,1.0,3,0.0,0.0,0.0,0.0,44.0,8.0,17.0,5.0,55.0,5.0,4.0,0.0,52.0,1.0,1.0,2.0,2.0,Eduard Lowen
Matthew Lowton,ENG,DF,Burnley,Premier League,31.0,1989.0,34.0,1498.0,1211.0,287.0,26.0,2.0,155.0,53.0,57,0.0,0.0,0.0,0.0,658.0,300.0,540.0,106.0,1015.0,92.0,261.0,4.0,1031.0,6.0,42.0,32.0,33.0,Matthew Lowton
Anthony Lozano,HON,FWMF,Cádiz,La Liga,27.0,1993.0,16.9,278.0,266.0,12.0,0.0,0.0,95.0,4.0,18,0.0,0.0,0.0,0.0,139.0,72.0,67.0,24.0,175.0,26.0,1.0,10.0,170.0,2.0,7.0,7.0,17.0,Anthony Lozano
Hirving Lozano,MEX,FW,Napoli,Serie A,25.0,1995.0,21.8,635.0,622.0,13.0,1.0,1.0,137.0,9.0,70,2.0,2.0,0.0,0.0,456.0,101.0,78.0,31.0,570.0,12.0,7.0,5.0,460.0,3.0,13.0,17.0,36.0,Hirving Lozano
Jan Luca Schuler,GER,FW,Schalke 04,Bundesliga,21.0,1999.0,0.4,13.0,13.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.0,7.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,Jan Luca Schuler
Jean Lucas,BRA,MF,Lyon,Ligue 1,22.0,1998.0,1.9,130.0,129.0,1.0,1.0,0.0,12.0,8.0,7,0.0,0.0,0.0,0.0,102.0,8.0,20.0,9.0,115.0,4.0,0.0,1.0,111.0,0.0,3.0,0.0,3.0,Jean Lucas
Jean Lucas,BRA,MF,Brest,Ligue 1,22.0,1998.0,11.2,647.0,621.0,26.0,19.0,3.0,89.0,23.0,8,6.0,3.0,1.0,0.0,523.0,56.0,68.0,44.0,583.0,7.0,1.0,4.0,575.0,2.0,8.0,15.0,6.0,Jean Lucas
Anderson Lucoqui,ANG,DF,Arminia,Bundesliga,23.0,1997.0,17.8,736.0,548.0,188.0,17.0,0.0,114.0,13.0,10,0.0,0.0,0.0,0.0,356.0,154.0,226.0,456.0,61.0,31.0,171.0,0.0,501.0,1.0,17.0,19.0,36.0,Anderson Lucoqui
Jeison Lucumí,COL,FW,Elche,La Liga,25.0,1995.0,0.5,11.0,11.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,Jeison Lucumi
Kilian Ludewig,GER,DF,Schalke 04,Bundesliga,20.0,2000.0,5.8,294.0,228.0,66.0,4.0,2.0,42.0,0.0,7,0.0,0.0,0.0,0.0,152.0,82.0,60.0,20.0,197.0,10.0,62.0,0.0,220.0,2.0,5.0,7.0,18.0,Kilian Ludewig
José Luis Gayà,ESP,DF,Valencia,La Liga,25.0,1995.0,31.6,1515.0,1259.0,256.0,46.0,0.0,173.0,57.0,96,1.0,0.0,0.0,0.0,882.0,334.0,299.0,1096.0,139.0,55.0,209.0,5.0,1184.0,4.0,30.0,27.0,54.0,Jose Luis Gaya
José Luis Morales,ESP,FWMF,Levante,La Liga,33.0,1987.0,27.1,738.0,677.0,61.0,17.0,3.0,142.0,26.0,75,27.0,7.0,5.0,5.0,483.0,116.0,139.0,151.0,544.0,23.0,9.0,6.0,508.0,6.0,16.0,29.0,38.0,Jose Luis Morales
José Luis Palomino,ARG,DF,Atalanta,Serie A,30.0,1990.0,27.0,1489.0,1411.0,78.0,56.0,1.0,161.0,20.0,12,0.0,0.0,0.0,0.0,1085.0,167.0,237.0,1107.0,222.0,87.0,21.0,3.0,1251.0,5.0,16.0,24.0,19.0,Jose Luis Palomino
Florentino Luís,POR,MF,Monaco,Ligue 1,20.0,1999.0,2.7,161.0,158.0,3.0,3.0,0.0,20.0,6.0,1,0.0,0.0,0.0,0.0,129.0,11.0,21.0,10.0,139.0,10.0,0.0,1.0,138.0,0.0,2.0,4.0,3.0,Florentino Luis
Luisinho,POR,DF,Huesca,La Liga,35.0,1985.0,2.0,119.0,104.0,15.0,0.0,0.0,9.0,2.0,1,0.0,0.0,0.0,0.0,84.0,15.0,20.0,92.0,5.0,7.0,15.0,0.0,100.0,0.0,2.0,1.0,2.0,Luisinho
Luismi,ESP,MFDF,Elche,La Liga,28.0,1992.0,1.9,109.0,106.0,3.0,3.0,0.0,15.0,12.0,1,0.0,0.0,0.0,0.0,80.0,11.0,18.0,10.0,96.0,2.0,0.0,0.0,94.0,0.0,4.0,4.0,0.0,Luismi
David Luiz,BRA,DF,Arsenal,Premier League,33.0,1987.0,15.5,965.0,932.0,33.0,31.0,2.0,91.0,27.0,7,0.0,0.0,0.0,0.0,709.0,86.0,170.0,157.0,753.0,36.0,2.0,6.0,807.0,3.0,19.0,14.0,16.0,David Luiz
Douglas Luiz,BRA,MF,Aston Villa,Premier League,22.0,1998.0,30.9,1431.0,1349.0,82.0,73.0,0.0,219.0,51.0,13,1.0,0.0,0.0,0.0,963.0,186.0,282.0,144.0,1145.0,93.0,1.0,15.0,1213.0,5.0,21.0,29.0,29.0,Douglas Luiz
Romelu Lukaku,BEL,FW,Inter,Serie A,27.0,1993.0,32.0,765.0,712.0,53.0,1.0,6.0,273.0,17.0,23,0.0,0.0,0.0,0.0,535.0,144.0,86.0,432.0,253.0,33.0,2.0,22.0,555.0,6.0,10.0,31.0,40.0,Romelu Lukaku
