Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_SHORT,Att_SHORT,Cmp%_SHORT,Cmp_MED,Att_MED,Cmp%_MED,Cmp_LONG,Att_LONG,Cmp%_LONG,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Name_no_spec_chars
Rodrigo Battaglia,ARG,MF,Alavés,La Liga,29.0,1991.0,27.7,871.0,1035.0,84.2,16532.0,3410.0,359.0,404.0,88.9,382.0,426.0,89.7,115.0,168.0,68.5,0,0.2,-0.2,3.0,56.0,4.0,1.0,49.0,Rodrigo Battaglia
Cristian Battocchio,ITA,MFFW,Brest,Ligue 1,28.0,1992.0,3.9,168.0,209.0,80.4,2948.0,715.0,85.0,91.0,93.4,61.0,71.0,85.9,19.0,41.0,46.3,0,0.2,-0.2,4.0,16.0,1.0,0.0,13.0,Cristian Battocchio
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,30.0,1990.0,31.0,1065.0,1352.0,78.8,27435.0,15923.0,284.0,284.0,100.0,448.0,454.0,98.7,304.0,584.0,52.1,0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,Oliver Baumann
Julian Baumgartlinger,AUT,MF,Leverkusen,Bundesliga,32.0,1988.0,11.9,579.0,668.0,86.7,11046.0,2389.0,242.0,267.0,90.6,230.0,254.0,90.6,96.0,124.0,77.4,0,0.3,-0.3,8.0,54.0,6.0,1.0,56.0,Julian Baumgartlinger
Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,20.0,1999.0,26.3,725.0,954.0,76.0,12116.0,3234.0,380.0,461.0,82.4,244.0,312.0,78.2,75.0,120.0,62.5,3,3.0,0.0,32.0,60.0,32.0,4.0,98.0,Christoph Baumgartner
Jon Bautista,ESP,FWMF,Real Sociedad,La Liga,25.0,1995.0,4.1,55.0,89.0,61.8,853.0,149.0,26.0,39.0,66.7,21.0,32.0,65.6,4.0,9.0,44.4,1,0.2,0.8,4.0,3.0,1.0,0.0,4.0,Jon Bautista
Paul Baysse,FRA,DF,Bordeaux,Ligue 1,32.0,1988.0,29.0,1502.0,1677.0,89.6,32746.0,10299.0,443.0,473.0,93.7,763.0,812.0,94.0,288.0,373.0,77.2,2,0.5,1.5,7.0,67.0,6.0,1.0,72.0,Paul Baysse
Noah Joel Sarenren Bazee,NGA,FWMF,Augsburg,Bundesliga,23.0,1996.0,0.4,6.0,13.0,46.2,78.0,23.0,3.0,5.0,60.0,2.0,4.0,50.0,0.0,2.0,0.0,1,0.7,0.3,1.0,0.0,0.0,0.0,0.0,Noah Joel Sarenren Bazee
Ihlas Bebou,TOG,FW,Hoffenheim,Bundesliga,26.0,1994.0,24.4,480.0,633.0,75.8,6814.0,1601.0,286.0,349.0,81.9,140.0,183.0,76.5,26.0,45.0,57.8,7,5.0,2.0,37.0,26.0,32.0,14.0,48.0,Ihlas Bebou
Rodrigo Becão,BRA,DF,Udinese,Serie A,24.0,1996.0,30.9,1211.0,1378.0,87.9,23737.0,8174.0,407.0,444.0,91.7,615.0,665.0,92.5,168.0,229.0,73.4,0,0.2,-0.2,6.0,85.0,5.0,1.0,60.0,Rodrigo Becao
Sheraldo Becker,SUR,FWMF,Union Berlin,Bundesliga,25.0,1995.0,12.3,212.0,336.0,63.1,3720.0,1172.0,103.0,139.0,74.1,88.0,131.0,67.2,17.0,45.0,37.8,3,3.2,-0.2,19.0,10.0,18.0,14.0,23.0,Sheraldo Becker
Timo Becker,GER,DF,Schalke 04,Bundesliga,23.0,1997.0,18.2,606.0,785.0,77.2,11778.0,4036.0,217.0,257.0,84.4,305.0,363.0,84.0,78.0,132.0,59.1,0,0.3,-0.3,3.0,25.0,9.0,3.0,35.0,Timo Becker
Jan Bednarek,POL,DF,Southampton,Premier League,24.0,1996.0,34.4,1697.0,2005.0,84.6,32478.0,10807.0,625.0,675.0,92.6,876.0,961.0,91.2,178.0,332.0,53.6,1,0.3,0.7,5.0,80.0,4.0,0.0,80.0,Jan Bednarek
Donny van de Beek,NED,MFFW,Manchester Utd,Premier League,23.0,1997.0,5.8,235.0,279.0,84.2,3651.0,758.0,126.0,141.0,89.4,94.0,102.0,92.2,11.0,17.0,64.7,1,1.0,0.0,3.0,11.0,2.0,1.0,10.0,Donny van de Beek
Valon Behrami,SUI,MF,Genoa,Serie A,35.0,1985.0,9.9,165.0,219.0,75.3,2534.0,973.0,85.0,108.0,78.7,60.0,77.0,77.9,13.0,22.0,59.1,0,0.1,-0.1,2.0,17.0,2.0,0.0,21.0,Valon Behrami
Brian Behrendt,GER,DF,Arminia,Bundesliga,28.0,1991.0,0.9,41.0,56.0,73.2,941.0,310.0,14.0,17.0,82.4,18.0,25.0,72.0,9.0,13.0,69.2,0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Brian Behrendt
Maximilian Beier,GER,FW,Hoffenheim,Bundesliga,17.0,2002.0,0.1,5.0,5.0,100.0,79.0,4.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maximilian Beier
Ishak Belfodil,ALG,FW,Hoffenheim,Bundesliga,28.0,1992.0,6.6,108.0,151.0,71.5,1487.0,259.0,63.0,83.0,75.9,35.0,49.0,71.4,5.0,7.0,71.4,1,1.0,0.0,7.0,2.0,3.0,0.0,8.0,Ishak Belfodil
Erwan Belhadji,FRA,MF,Dijon,Ligue 1,19.0,2001.0,0.3,6.0,7.0,85.7,108.0,43.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Erwan Belhadji
Haris Belkebla,ALG,MF,Brest,Ligue 1,26.0,1994.0,30.3,1245.0,1425.0,87.4,24380.0,5559.0,448.0,502.0,89.2,599.0,655.0,91.5,183.0,224.0,81.7,0,0.7,-0.7,11.0,90.0,12.0,1.0,83.0,Haris Belkebla
Stefan Bell,GER,DF,Mainz 05,Bundesliga,28.0,1991.0,14.1,418.0,531.0,78.7,8518.0,3044.0,143.0,161.0,88.8,205.0,235.0,87.2,68.0,126.0,54.0,1,1.3,-0.3,3.0,15.0,2.0,0.0,28.0,Stefan Bell
