Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Benjamin Bourigeaud,FRA,MFFW,Rennes,Ligue 1,26.0,1994.0,28.4,2145.0,42.0,263.0,1143.0,815.0,62.0,1901.0,14.0,24.0,58.3,15.0,1.0,1297.0,4861.0,2322.0,117.0,35.0,6.0,23.0,18.0,1711.0,1489.0,87.0,126.0,Benjamin Bourigeaud
Edoardo Bove,ITA,MF,Roma,Serie A,18.0,2002.0,0.1,13.0,1.0,6.0,7.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,9.0,59.0,41.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,Edoardo Bove
Jarrod Bowen,ENG,FWMF,West Ham,Premier League,23.0,1996.0,28.5,1065.0,15.0,160.0,431.0,579.0,120.0,993.0,40.0,64.0,62.5,40.0,3.0,768.0,5477.0,2363.0,113.0,28.0,37.0,51.0,66.0,1133.0,706.0,62.3,176.0,Jarrod Bowen
Dedryck Boyata,BEL,DF,Hertha BSC,Bundesliga,29.0,1990.0,17.2,1180.0,162.0,718.0,513.0,25.0,17.0,1161.0,2.0,3.0,66.7,2.0,1.0,774.0,4449.0,2276.0,31.0,2.0,0.0,0.0,1.0,862.0,845.0,98.0,5.0,Dedryck Boyata
John Boye,GHA,DF,Metz,Ligue 1,33.0,1987.0,33.8,1631.0,249.0,1006.0,647.0,35.0,17.0,1597.0,6.0,6.0,100.0,6.0,0.0,854.0,3249.0,1053.0,9.0,2.0,0.0,9.0,14.0,919.0,892.0,97.1,3.0,John Boye
Lucas Boyé,ARG,FW,Elche,La Liga,24.0,1996.0,29.9,1187.0,27.0,101.0,717.0,439.0,96.0,1136.0,65.0,119.0,54.6,68.0,1.0,839.0,3275.0,1443.0,76.0,21.0,19.0,145.0,90.0,1464.0,827.0,56.5,178.0,Lucas Boye
Can Bozdogan,GER,MF,Schalke 04,Bundesliga,19.0,2001.0,7.2,352.0,12.0,88.0,210.0,77.0,14.0,341.0,5.0,18.0,27.8,6.0,0.0,249.0,1161.0,567.0,23.0,6.0,4.0,16.0,26.0,285.0,221.0,77.5,23.0,Can Bozdogan
Umut Bozok,TUR,FWMF,Lorient,Ligue 1,23.0,1996.0,0.7,43.0,0.0,3.0,25.0,19.0,3.0,43.0,2.0,4.0,50.0,2.0,0.0,33.0,164.0,69.0,6.0,4.0,0.0,6.0,1.0,47.0,34.0,72.3,10.0,Umut Bozok
Jayden Braaf,NED,FW,Udinese,Serie A,17.0,2002.0,1.3,45.0,1.0,3.0,15.0,29.0,9.0,45.0,4.0,5.0,80.0,4.0,1.0,34.0,203.0,79.0,4.0,1.0,0.0,4.0,3.0,56.0,33.0,58.9,16.0,Jayden Braaf
Domagoj Bradarić,CRO,DF,Lille,Ligue 1,20.0,1999.0,14.0,1048.0,37.0,269.0,531.0,317.0,17.0,925.0,9.0,13.0,69.2,9.0,1.0,627.0,3080.0,1968.0,102.0,27.0,7.0,8.0,11.0,696.0,651.0,93.5,53.0,Domagoj Bradaric
Robbie Brady,IRL,MF,Burnley,Premier League,28.0,1992.0,11.7,526.0,43.0,118.0,237.0,206.0,23.0,506.0,15.0,21.0,71.4,17.0,2.0,309.0,1877.0,874.0,48.0,12.0,5.0,16.0,11.0,385.0,299.0,77.7,30.0,Robbie Brady
Martin Braithwaite,DEN,FW,Barcelona,La Liga,29.0,1991.0,13.1,408.0,10.0,35.0,156.0,236.0,75.0,398.0,11.0,16.0,68.8,11.0,0.0,277.0,1188.0,577.0,38.0,8.0,12.0,24.0,23.0,531.0,320.0,60.3,101.0,Martin Braithwaite
Julian Brandt,GER,FWMF,Dortmund,Bundesliga,24.0,1996.0,16.6,1120.0,15.0,137.0,506.0,545.0,65.0,1097.0,31.0,47.0,66.0,33.0,2.0,800.0,4279.0,1610.0,92.0,26.0,10.0,36.0,33.0,1054.0,868.0,82.4,151.0,Julian Brandt
Darko Brašanac,SRB,MF,Osasuna,La Liga,28.0,1992.0,10.1,399.0,15.0,57.0,201.0,160.0,37.0,387.0,5.0,6.0,83.3,5.0,1.0,219.0,1132.0,643.0,31.0,12.0,8.0,14.0,15.0,357.0,244.0,68.3,46.0,Darko Brasanac
Lilian Brassier,FRA,DF,Brest,Ligue 1,20.0,1999.0,10.7,808.0,123.0,425.0,398.0,47.0,6.0,782.0,6.0,7.0,85.7,6.0,1.0,557.0,3435.0,1808.0,64.0,13.0,0.0,3.0,6.0,571.0,557.0,97.5,4.0,Lilian Brassier
Álvaro Bravo,ESP,MF,Granada,La Liga,22.0,1998.0,0.2,11.0,0.0,4.0,7.0,2.0,0.0,11.0,0.0,0.0,,0.0,0.0,5.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,0.0,Alvaro Bravo
Claudio Bravo,CHI,GK,Betis,La Liga,37.0,1983.0,20.0,701.0,609.0,699.0,3.0,0.0,0.0,496.0,3.0,3.0,100.0,3.0,0.0,352.0,1701.0,1041.0,0.0,0.0,0.0,0.0,0.0,313.0,311.0,99.4,0.0,Claudio Bravo
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,25.0,1995.0,1.0,41.0,37.0,41.0,0.0,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,19.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,Fabian Bredlow
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,22.0,1998.0,20.2,1091.0,8.0,108.0,533.0,535.0,65.0,1024.0,26.0,45.0,57.8,29.0,0.0,759.0,4858.0,2583.0,144.0,46.0,19.0,52.0,38.0,1015.0,794.0,78.2,144.0,Josip Brekalo
Gleison Bremer,BRA,DF,Torino,Serie A,23.0,1997.0,32.6,2020.0,276.0,1089.0,959.0,105.0,39.0,1972.0,6.0,12.0,50.0,7.0,0.0,1246.0,7298.0,3720.0,69.0,13.0,0.0,9.0,12.0,1296.0,1255.0,96.8,10.0,Gleison Bremer
Joshua Brenet,NED,DF,Hoffenheim,Bundesliga,26.0,1994.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,100.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Joshua Brenet
Rhian Brewster,ENG,FW,Sheffield Utd,Premier League,20.0,2000.0,12.5,352.0,6.0,31.0,135.0,204.0,33.0,344.0,9.0,17.0,52.9,9.0,0.0,214.0,771.0,390.0,21.0,8.0,3.0,22.0,16.0,476.0,231.0,48.5,70.0,Rhian Brewster
Anthony Briançon,FRA,DF,Nîmes,Ligue 1,25.0,1994.0,13.6,985.0,140.0,637.0,394.0,19.0,6.0,940.0,1.0,2.0,50.0,1.0,0.0,594.0,3341.0,1855.0,31.0,8.0,0.0,0.0,0.0,664.0,650.0,97.9,0.0,Anthony Briancon
Jimmy Briand,FRA,FW,Bordeaux,Ligue 1,34.0,1985.0,6.3,249.0,4.0,31.0,142.0,82.0,19.0,242.0,2.0,7.0,28.6,2.0,0.0,142.0,522.0,176.0,10.0,2.0,1.0,20.0,13.0,313.0,186.0,59.4,40.0,Jimmy Briand
Yan Brice Eteki,CMR,MF,Granada,La Liga,22.0,1997.0,14.7,480.0,24.0,114.0,312.0,66.0,3.0,473.0,5.0,6.0,83.3,5.0,0.0,271.0,947.0,352.0,9.0,2.0,0.0,10.0,13.0,278.0,247.0,88.8,14.0,Yan Brice Eteki
Nathan Broadhead,WAL,MF,Everton,Premier League,22.0,1998.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,Nathan Broadhead
Dylan Bronn,TUN,DF,Metz,Ligue 1,25.0,1995.0,37.9,2108.0,217.0,1138.0,1062.0,74.0,16.0,2026.0,16.0,19.0,84.2,16.0,0.0,1377.0,7417.0,4446.0,105.0,20.0,0.0,5.0,16.0,1400.0,1371.0,97.9,6.0,Dylan Bronn
John Brooks,USA,DF,Wolfsburg,Bundesliga,27.0,1993.0,30.8,2249.0,234.0,1174.0,1220.0,51.0,26.0,2164.0,7.0,11.0,63.6,7.0,1.0,1394.0,9061.0,4837.0,105.0,14.0,1.0,3.0,9.0,1455.0,1414.0,97.2,7.0,John Brooks
Daniel Brosinski,GER,DF,Mainz 05,Bundesliga,32.0,1988.0,15.9,977.0,57.0,279.0,429.0,314.0,8.0,717.0,9.0,20.0,45.0,12.0,3.0,450.0,2104.0,1335.0,54.0,19.0,2.0,5.0,9.0,536.0,470.0,87.7,26.0,Daniel Brosinski
Josh Brownhill,ENG,MF,Burnley,Premier League,24.0,1995.0,31.3,1502.0,72.0,281.0,814.0,465.0,65.0,1472.0,14.0,19.0,73.7,15.0,0.0,742.0,3067.0,1315.0,64.0,22.0,7.0,22.0,14.0,954.0,810.0,84.9,85.0,Josh Brownhill
Marcelo Brozović,CRO,MF,Inter,Serie A,27.0,1992.0,28.7,2518.0,131.0,658.0,1470.0,563.0,12.0,2378.0,11.0,17.0,64.7,12.0,1.0,1735.0,9060.0,4029.0,151.0,44.0,2.0,20.0,20.0,1956.0,1893.0,96.8,42.0,Marcelo Brozovic
Gastón Brugman,URU,MF,Parma,Serie A,27.0,1992.0,18.0,1276.0,65.0,376.0,756.0,223.0,7.0,1165.0,15.0,19.0,78.9,17.0,0.0,760.0,4180.0,2212.0,72.0,18.0,2.0,8.0,10.0,863.0,826.0,95.7,20.0,Gaston Brugman
Juan Brunet,ARG,MF,Granada,La Liga,22.0,1998.0,0.3,10.0,1.0,2.0,5.0,3.0,0.0,10.0,0.0,0.0,,0.0,0.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,71.4,0.0,Juan Brunet
Juan Brunetta,ARG,FWMF,Parma,Serie A,23.0,1997.0,5.3,263.0,1.0,24.0,154.0,103.0,17.0,239.0,17.0,24.0,70.8,18.0,1.0,204.0,1270.0,618.0,32.0,10.0,2.0,18.0,9.0,265.0,188.0,70.9,40.0,Juan Brunetta
Cédric Brunner,SUI,DF,Arminia,Bundesliga,26.0,1994.0,29.5,1741.0,137.0,685.0,834.0,301.0,14.0,1439.0,32.0,39.0,82.1,32.0,2.0,901.0,3741.0,1751.0,66.0,21.0,3.0,13.0,16.0,898.0,847.0,94.3,10.0,Cedric Brunner
Jacob Bruun Larsen,DEN,FW,Hoffenheim,Bundesliga,21.0,1998.0,1.0,31.0,0.0,3.0,17.0,14.0,3.0,31.0,1.0,3.0,33.3,1.0,0.0,25.0,113.0,28.0,2.0,0.0,0.0,5.0,4.0,46.0,26.0,56.5,11.0,Jacob Bruun Larsen
Bryan,ESP,FW,Sevilla,La Liga,19.0,2001.0,0.1,10.0,0.0,1.0,6.0,3.0,1.0,10.0,0.0,0.0,,0.0,0.0,6.0,30.0,28.0,2.0,0.0,1.0,0.0,1.0,9.0,8.0,88.9,0.0,Bryan
Bryan,ESP,MFFW,Eibar,La Liga,19.0,2001.0,25.2,1367.0,14.0,125.0,505.0,855.0,104.0,1275.0,72.0,126.0,57.1,78.0,7.0,1057.0,6084.0,3434.0,210.0,59.0,35.0,59.0,62.0,1336.0,967.0,72.4,133.0,Bryan
Joe Bryan,ENG,DFFW,Fulham,Premier League,26.0,1993.0,7.4,506.0,21.0,154.0,208.0,170.0,10.0,425.0,9.0,9.0,100.0,9.0,0.0,271.0,1446.0,872.0,46.0,16.0,0.0,11.0,5.0,313.0,284.0,90.7,10.0,Joe Bryan
Kean Bryan,ENG,DF,Sheffield Utd,Premier League,23.0,1996.0,11.2,591.0,64.0,293.0,276.0,66.0,7.0,570.0,3.0,5.0,60.0,3.0,0.0,317.0,1566.0,728.0,11.0,8.0,0.0,4.0,5.0,335.0,317.0,94.6,8.0,Kean Bryan
Lucas Buadés,FRA,MF,Nîmes,Ligue 1,22.0,1997.0,0.2,6.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,Lucas Buades
Ante Budimir,CRO,FW,Osasuna,La Liga,29.0,1991.0,18.1,637.0,26.0,56.0,317.0,296.0,101.0,615.0,11.0,22.0,50.0,13.0,2.0,313.0,1166.0,565.0,38.0,10.0,13.0,63.0,29.0,964.0,459.0,47.6,116.0,Ante Budimir
Gianluigi Buffon,ITA,GK,Juventus,Serie A,42.0,1978.0,8.0,318.0,293.0,317.0,1.0,0.0,0.0,249.0,0.0,0.0,,0.0,0.0,184.0,625.0,332.0,0.0,0.0,0.0,0.0,0.0,186.0,184.0,98.9,0.0,Gianluigi Buffon
Marius Bülter,GER,FWMF,Union Berlin,Bundesliga,27.0,1993.0,10.9,463.0,17.0,102.0,207.0,197.0,21.0,447.0,13.0,24.0,54.2,15.0,0.0,313.0,2032.0,1037.0,46.0,21.0,7.0,28.0,19.0,418.0,290.0,69.4,48.0,Marius Bulter
Alessandro Buongiorno,ITA,DF,Torino,Serie A,21.0,1999.0,9.5,531.0,72.0,268.0,296.0,29.0,7.0,508.0,2.0,2.0,100.0,2.0,0.0,328.0,2168.0,1270.0,27.0,4.0,0.0,6.0,4.0,348.0,336.0,96.6,2.0,Alessandro Buongiorno
Esteban Burgos,ARG,DF,Eibar,La Liga,28.0,1992.0,12.3,676.0,81.0,324.0,369.0,18.0,12.0,650.0,1.0,1.0,100.0,1.0,0.0,336.0,2160.0,1085.0,18.0,2.0,1.0,0.0,2.0,360.0,345.0,95.8,1.0,Esteban Burgos
Burgui,ESP,MF,Alavés,La Liga,26.0,1993.0,0.2,12.0,1.0,1.0,7.0,6.0,1.0,12.0,0.0,0.0,,0.0,0.0,8.0,43.0,35.0,3.0,2.0,1.0,0.0,0.0,12.0,7.0,58.3,1.0,Burgui
Jonathan Burkardt,GER,FWDF,Mainz 05,Bundesliga,20.0,2000.0,15.3,647.0,22.0,95.0,312.0,287.0,76.0,607.0,23.0,50.0,46.0,25.0,0.0,432.0,2182.0,1252.0,59.0,20.0,17.0,44.0,29.0,681.0,391.0,57.4,98.0,Jonathan Burkardt
Nishan Burkart,SUI,MF,Freiburg,Bundesliga,20.0,2000.0,0.2,8.0,0.0,2.0,5.0,1.0,0.0,8.0,1.0,1.0,100.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,6.0,75.0,2.0,Nishan Burkart
Oliver Burke,SCO,FW,Sheffield Utd,Premier League,23.0,1997.0,14.1,432.0,5.0,34.0,186.0,240.0,67.0,419.0,18.0,26.0,69.2,18.0,3.0,261.0,1329.0,688.0,42.0,6.0,20.0,44.0,31.0,647.0,300.0,46.4,107.0,Oliver Burke
Roman Bürki,SUI,GK,Dortmund,Bundesliga,29.0,1990.0,18.5,666.0,585.0,665.0,2.0,0.0,0.0,538.0,0.0,0.0,,0.0,0.0,370.0,1477.0,648.0,0.0,0.0,0.0,1.0,0.0,378.0,375.0,99.2,0.0,Roman Burki
Dan Burn,ENG,DF,Brighton,Premier League,28.0,1992.0,22.9,1516.0,115.0,491.0,732.0,378.0,43.0,1369.0,17.0,22.0,77.3,18.0,0.0,845.0,4343.0,2392.0,78.0,25.0,2.0,23.0,14.0,1036.0,920.0,88.8,43.0,Dan Burn
Patrick Burner,FRA,DF,Nice,Ligue 1,24.0,1996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Patrick Burner
Patrick Burner,FRA,DF,Nîmes,Ligue 1,24.0,1996.0,14.6,822.0,58.0,311.0,381.0,163.0,8.0,664.0,11.0,19.0,57.9,12.0,0.0,439.0,1865.0,1166.0,43.0,12.0,4.0,8.0,12.0,468.0,427.0,91.2,10.0,Patrick Burner
Maxime Busi,BEL,DF,Parma,Serie A,20.0,1999.0,13.3,943.0,43.0,319.0,490.0,198.0,15.0,830.0,11.0,22.0,50.0,13.0,2.0,564.0,2902.0,1771.0,72.0,16.0,3.0,15.0,8.0,670.0,610.0,91.0,19.0,Maxime Busi
