Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Sergio Busquets,ESP,MF,Barcelona,La Liga,32.0,1988.0,28.0,2943.0,69.0,532.0,1926.0,617.0,14.0,2856.0,13.0,16.0,81.3,13.0,1.0,2017.0,6449.0,3296.0,144.0,46.0,2.0,18.0,13.0,2437.0,2343.0,96.1,50.0,Sergio Busquets
Jack Butland,ENG,GK,Crystal Palace,Premier League,27.0,1993.0,1.0,23.0,19.0,23.0,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.0,8.0,61.0,42.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,Jack Butland
David Button,ENG,GK,West Brom,Premier League,31.0,1989.0,1.0,39.0,34.0,38.0,1.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,12.0,75.0,45.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,David Button
Oskar Buur,DEN,DF,Wolves,Premier League,22.0,1998.0,0.2,17.0,0.0,5.0,12.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,11.0,23.0,17.0,1.0,0.0,0.0,0.0,1.0,14.0,13.0,92.9,0.0,Oskar Buur
Marcin Bułka,POL,GK,Paris S-G,Ligue 1,20.0,1999.0,1.0,32.0,29.0,31.0,1.0,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,21.0,90.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,Marcin Bulka
Erick Cabaco,URU,DF,Getafe,La Liga,25.0,1995.0,14.7,604.0,59.0,287.0,314.0,33.0,9.0,554.0,3.0,4.0,75.0,3.0,0.0,253.0,1315.0,726.0,15.0,5.0,0.0,3.0,1.0,261.0,244.0,93.5,3.0,Erick Cabaco
Willy Caballero,ARG,GK,Chelsea,Premier League,38.0,1981.0,1.0,26.0,21.0,26.0,1.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,12.0,77.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,Willy Caballero
Jimmy Cabot,FRA,FWMF,Angers,Ligue 1,26.0,1994.0,10.5,583.0,4.0,104.0,274.0,255.0,28.0,570.0,38.0,66.0,57.6,42.0,4.0,449.0,2216.0,1122.0,63.0,22.0,6.0,22.0,25.0,511.0,408.0,79.8,66.0,Jimmy Cabot
Martín Cáceres,URU,DF,Fiorentina,Serie A,33.0,1987.0,24.9,1227.0,105.0,373.0,676.0,252.0,25.0,1087.0,2.0,9.0,22.2,3.0,1.0,711.0,3620.0,2159.0,79.0,26.0,0.0,6.0,11.0,801.0,745.0,93.0,22.0,Martin Caceres
Anthony Caci,FRA,DF,Strasbourg,Ligue 1,23.0,1997.0,31.1,2200.0,84.0,778.0,1138.0,421.0,15.0,1854.0,28.0,41.0,68.3,29.0,1.0,1319.0,6148.0,3205.0,113.0,40.0,2.0,21.0,21.0,1328.0,1258.0,94.7,36.0,Anthony Caci
