Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Matches,Name_no_spec_chars
Sergio Postigo,ESP,DF,Levante,La Liga,31.0,1988.0,18.0,10.0,0.55,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sergio Postigo
Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,26.0,1994.0,15.0,37.0,2.46,27.0,0.0,1.0,4.0,4.0,1.0,7.0,0.47,5.0,0.0,1.0,0.0,1.0,0.0,Matches,Yussuf Poulsen
Maxime Poundjé,FRA,DF,Bordeaux,Ligue 1,27.0,1992.0,5.5,5.0,0.92,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Maxime Poundje
Darío Poveda,ESP,FW,Getafe,La Liga,23.0,1997.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Dario Poveda
Alejandro Pozo Pozo,ESP,DFMF,Eibar,La Liga,21.0,1999.0,24.3,30.0,1.23,21.0,1.0,3.0,1.0,2.0,2.0,4.0,0.16,3.0,0.0,0.0,0.0,0.0,1.0,Matches,Alejandro Pozo Pozo
Dennis Praet,BEL,MFFW,Leicester City,Premier League,26.0,1994.0,8.0,13.0,1.63,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0,Matches,Dennis Praet
Sanjin Prcić,BIH,MF,Strasbourg,Ligue 1,26.0,1993.0,3.9,7.0,1.78,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Sanjin Prcic
Nicolas de Préville,FRA,FWMF,Bordeaux,Ligue 1,29.0,1991.0,17.9,65.0,3.63,36.0,14.0,3.0,3.0,6.0,3.0,7.0,0.39,6.0,1.0,0.0,0.0,0.0,0.0,Matches,Nicolas de Preville
Manuel Prietl,AUT,MF,Arminia,Bundesliga,28.0,1991.0,28.0,31.0,1.11,20.0,0.0,3.0,1.0,1.0,6.0,5.0,0.18,4.0,0.0,0.0,0.0,0.0,1.0,Matches,Manuel Prietl
Grischa Prömel,GER,MF,Union Berlin,Bundesliga,25.0,1995.0,20.2,38.0,1.88,23.0,0.0,1.0,4.0,7.0,3.0,3.0,0.15,1.0,0.0,0.0,1.0,1.0,0.0,Matches,Grischa Promel
Davy Pröpper,NED,MF,Brighton,Premier League,28.0,1991.0,2.4,1.0,0.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Davy Propper
Ivan Provedel,ITA,GK,Spezia,Serie A,26.0,1994.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ivan Provedel
Antonio Puertas,ESP,FWMF,Granada,La Liga,28.0,1992.0,24.1,39.0,1.62,29.0,1.0,4.0,0.0,4.0,1.0,7.0,0.29,6.0,0.0,1.0,0.0,0.0,0.0,Matches,Antonio Puertas
Riqui Puig,ESP,MF,Barcelona,La Liga,20.0,1999.0,3.2,12.0,3.7,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.62,2.0,0.0,0.0,0.0,0.0,0.0,Matches,Riqui Puig
Erick Pulgar,CHI,MF,Fiorentina,Serie A,26.0,1994.0,22.2,33.0,1.48,17.0,13.0,1.0,2.0,0.0,0.0,5.0,0.22,1.0,2.0,0.0,2.0,0.0,0.0,Matches,Erick Pulgar
Jorge Pulido,ESP,DF,Huesca,La Liga,29.0,1991.0,32.1,19.0,0.59,14.0,1.0,1.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,Matches,Jorge Pulido
Christian Pulisic,USA,FWMF,Chelsea,Premier League,21.0,1998.0,19.3,67.0,3.47,52.0,1.0,5.0,2.0,5.0,2.0,8.0,0.41,7.0,0.0,0.0,1.0,0.0,0.0,Matches,Christian Pulisic
Ignacio Pussetto,ARG,FW,Udinese,Serie A,24.0,1995.0,8.4,19.0,2.27,13.0,0.0,3.0,0.0,1.0,2.0,3.0,0.36,1.0,0.0,1.0,0.0,1.0,0.0,Matches,Ignacio Pussetto
Fabio Quagliarella,ITA,FW,Sampdoria,Serie A,37.0,1983.0,24.5,39.0,1.59,28.0,0.0,0.0,7.0,3.0,1.0,4.0,0.16,2.0,0.0,0.0,1.0,1.0,0.0,Matches,Fabio Quagliarella
Robin Quaison,SWE,FWMF,Mainz 05,Bundesliga,26.0,1993.0,16.4,34.0,2.07,22.0,0.0,5.0,2.0,3.0,2.0,7.0,0.43,4.0,0.0,0.0,2.0,1.0,0.0,Matches,Robin Quaison
Domingos Quina,POR,MF,Granada,La Liga,20.0,1999.0,3.8,11.0,2.9,7.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Domingos Quina
Quini,ESP,DF,Granada,La Liga,30.0,1989.0,13.2,15.0,1.13,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Quini
Quique,ESP,FWMF,Eibar,La Liga,30.0,1990.0,1.9,1.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Quique
Dani Raba,ESP,MF,Villarreal,La Liga,24.0,1995.0,1.7,8.0,4.8,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Dani Raba
Simone Rabbi,ITA,FW,Bologna,Serie A,18.0,2001.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Simone Rabbi
