Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Name_no_spec_chars
Juanmi,ESP,FWMF,Betis,La Liga,27.0,1993.0,6.7,2,14,5,35.7,2.09,0.75,0.14,0.4,10.9,0.0,0,0,3.0,3.0,0.21,-1.0,-1.0,Juanmi
Hamed Junior Traorè,CIV,FWMF,Sassuolo,Serie A,20.0,2000.0,19.9,5,44,14,31.8,2.21,0.7,0.11,0.36,17.1,1.0,0,0,4.4,4.4,0.1,0.6,0.6,Hamed Junior Traore
Vinicius Júnior,BRA,FW,Real Madrid,La Liga,20.0,2000.0,21.9,3,42,13,31.0,1.92,0.59,0.07,0.23,13.9,0.0,0,0,6.5,6.5,0.16,-3.5,-3.5,Vinicius Junior
James Justin,ENG,DF,Leicester City,Premier League,22.0,1998.0,23.0,2,10,3,30.0,0.43,0.13,0.2,0.67,14.9,0.0,0,0,1.6,1.6,0.16,0.4,0.4,James Justin
Musa Juwara,GAM,DF,Bologna,Serie A,18.0,2001.0,0.5,0,1,1,100.0,1.96,1.96,0.0,0.0,22.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Musa Juwara
Jens Jønsson,DEN,MF,Cádiz,La Liga,27.0,1993.0,29.1,0,15,2,13.3,0.52,0.07,0.0,0.0,19.0,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,Jens Jonsson
Ozan Kabak,TUR,DF,Liverpool,Premier League,20.0,2000.0,8.9,0,1,0,0.0,0.11,0.0,0.0,,4.2,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1,Ozan Kabak
Ozan Kabak,TUR,DF,Schalke 04,Bundesliga,20.0,2000.0,13.8,0,12,1,8.3,0.87,0.07,0.0,0.0,12.7,0.0,0,0,1.0,1.0,0.09,-1.0,-1.0,Ozan Kabak
Abdoul Kader Bamba,FRA,FWMF,Nantes,Ligue 1,26.0,1994.0,10.2,3,14,6,42.9,1.37,0.59,0.21,0.5,18.7,1.0,0,1,2.8,2.0,0.14,0.2,1.0,Abdoul Kader Bamba
Pavel Kadeřábek,CZE,DF,Hoffenheim,Bundesliga,28.0,1992.0,17.6,0,10,4,40.0,0.57,0.23,0.0,0.0,10.8,0.0,0,0,1.2,1.2,0.12,-1.2,-1.2,Pavel Kaderabek
Tino Kadewere,ZIM,FW,Lyon,Ligue 1,24.0,1996.0,22.3,10,60,24,40.0,2.69,1.08,0.17,0.42,12.1,0.0,0,0,10.2,10.2,0.17,-0.2,-0.2,Tino Kadewere
Damian Kądzior,POL,FWMF,Eibar,La Liga,28.0,1992.0,2.2,0,5,1,20.0,2.31,0.46,0.0,0.0,21.5,1.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Damian Kadzior
Florian Kainz,AUT,FWMF,Köln,Bundesliga,27.0,1992.0,5.0,1,9,3,33.3,1.81,0.6,0.11,0.33,18.7,0.0,0,0,0.6,0.6,0.06,0.4,0.4,Florian Kainz
Gaël Kakuta,COD,MFFW,Lens,Ligue 1,29.0,1991.0,26.6,11,45,8,17.8,1.69,0.3,0.09,0.5,27.1,9.0,7,9,11.4,4.6,0.1,-0.4,-0.6,Gael Kakuta
Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,23.0,1997.0,23.7,16,67,28,41.8,2.82,1.18,0.24,0.57,12.5,0.0,0,0,9.0,9.0,0.13,7.0,7.0,Sasa Kalajdzic
Arnaud Kalimuendo,FRA,FW,Paris S-G,Ligue 1,18.0,2002.0,0.8,0,2,1,50.0,2.47,1.23,0.0,0.0,16.6,0.0,0,0,0.4,0.4,0.19,-0.4,-0.4,Arnaud Kalimuendo
Arnaud Kalimuendo,FRA,FW,Lens,Ligue 1,18.0,2002.0,13.5,7,32,17,53.1,2.36,1.26,0.22,0.41,13.2,0.0,0,0,6.0,6.0,0.19,1.0,1.0,Arnaud Kalimuendo
Nikola Kalinić,CRO,FW,Hellas Verona,Serie A,32.0,1988.0,11.8,2,23,7,30.4,1.95,0.59,0.09,0.29,11.6,0.0,0,0,4.0,4.0,0.18,-2.0,-2.0,Nikola Kalinic
Yayah Kallon,SLE,MFFW,Genoa,Serie A,19.0,2001.0,0.5,0,2,1,50.0,4.0,2.0,0.0,0.0,18.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Yayah Kallon
Samuel Kalu,NGA,FWMF,Bordeaux,Ligue 1,22.0,1997.0,10.7,4,24,8,33.3,2.24,0.75,0.17,0.5,17.4,1.0,0,0,1.5,1.5,0.06,2.5,2.5,Samuel Kalu
Pierre Kalulu,FRA,DF,Milan,Serie A,20.0,2000.0,8.1,1,3,1,33.3,0.37,0.12,0.33,1.0,6.7,0.0,0,0,0.6,0.6,0.2,0.4,0.4,Pierre Kalulu
Daichi Kamada,JPN,MFFW,Eint Frankfurt,Bundesliga,23.0,1996.0,26.2,5,38,9,23.7,1.45,0.34,0.13,0.56,16.6,2.0,0,0,5.6,5.6,0.15,-0.6,-0.6,Daichi Kamada
Aboubakar Kamara,MTN,FWMF,Dijon,Ligue 1,25.0,1995.0,6.2,1,11,3,27.3,1.78,0.48,0.09,0.33,18.2,0.0,0,0,0.8,0.8,0.07,0.2,0.2,Aboubakar Kamara
Aboubakar Kamara,MTN,FWDF,Fulham,Premier League,25.0,1995.0,3.5,0,4,2,50.0,1.14,0.57,0.0,0.0,20.7,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,Aboubakar Kamara
Bingourou Kamara,SEN,GK,Strasbourg,Ligue 1,23.0,1996.0,8.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Bingourou Kamara
Boubacar Kamara,FRA,MF,Marseille,Ligue 1,20.0,1999.0,32.2,0,20,8,40.0,0.62,0.25,0.0,0.0,22.3,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Boubacar Kamara
Hassane Kamara,CIV,DF,Nice,Ligue 1,25.0,1994.0,32.9,2,27,4,14.8,0.82,0.12,0.07,0.5,21.0,0.0,0,0,1.1,1.1,0.04,0.9,0.9,Hassane Kamara
Marcin Kamiński,POL,DF,Stuttgart,Bundesliga,28.0,1992.0,2.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Marcin Kaminski
Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,29.0,1990.0,21.5,0,14,1,7.1,0.65,0.05,0.0,0.0,22.5,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2,Kevin Kampl
Harry Kane,ENG,FW,Tottenham,Premier League,27.0,1993.0,34.2,23,134,47,35.1,3.91,1.37,0.14,0.4,17.7,14.0,4,4,20.5,17.5,0.13,2.5,1.5,Harry Kane
Wilfried Kanga,FRA,FW,Angers,Ligue 1,22.0,1998.0,1.5,0,1,1,100.0,0.68,0.68,0.0,0.0,21.4,0.0,0,0,0.3,0.3,0.26,-0.3,-0.3,Wilfried Kanga
Lee Kangin,KOR,FWMF,Valencia,La Liga,19.0,2001.0,14.0,0,25,7,28.0,1.78,0.5,0.0,0.0,22.0,5.0,0,0,1.2,1.2,0.05,-1.2,-1.2,Lee Kangin
N'Golo Kanté,FRA,MF,Chelsea,Premier League,29.0,1991.0,23.8,0,10,3,30.0,0.42,0.13,0.0,0.0,19.5,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,NGolo Kante
Jimmy Kaparos,GER,MF,Schalke 04,Bundesliga,18.0,2001.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Jimmy Kaparos
Yann Karamoh,FRA,FWMF,Parma,Serie A,22.0,1998.0,14.4,2,22,9,40.9,1.53,0.63,0.09,0.22,14.1,0.0,0,0,3.3,3.3,0.15,-1.3,-1.3,Yann Karamoh
Isaac Karamoko,FRA,DF,Sassuolo,Serie A,18.0,2002.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Isaac Karamoko
Atakan Karazor,GER,DFMF,Stuttgart,Bundesliga,23.0,1996.0,11.5,0,3,1,33.3,0.26,0.09,0.0,0.0,20.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Atakan Karazor
Augustus Kargbo,SLE,FW,Crotone,Serie A,20.0,1999.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Augustus Kargbo
Loris Karius,GER,GK,Union Berlin,Bundesliga,27.0,1993.0,3.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Loris Karius
Rick Karsdorp,NED,DF,Roma,Serie A,25.0,1995.0,28.3,1,13,4,30.8,0.46,0.14,0.08,0.25,16.5,0.0,0,0,0.9,0.9,0.07,0.1,0.1,Rick Karsdorp
Noah Katterbach,GER,DF,Köln,Bundesliga,19.0,2001.0,12.3,0,9,2,22.2,0.73,0.16,0.0,0.0,24.4,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,Noah Katterbach
Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,37.0,1983.0,24.0,0,1,0,0.0,0.04,0.0,0.0,,74.0,1.0,0,0,0.0,0.0,0.03,0.0,0.0,Eiji Kawashima
Moise Kean,ITA,FW,Everton,Premier League,20.0,2000.0,0.2,0,1,0,0.0,6.0,0.0,0.0,,23.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Moise Kean
Moise Kean,ITA,FW,Paris S-G,Ligue 1,20.0,2000.0,18.9,13,53,24,45.3,2.81,1.27,0.25,0.54,11.7,0.0,0,0,10.7,10.7,0.2,2.3,2.3,Moise Kean
Michael Keane,ENG,DF,Everton,Premier League,27.0,1993.0,33.2,3,16,6,37.5,0.48,0.18,0.19,0.5,11.1,0.0,0,0,1.2,1.2,0.08,1.8,1.8,Michael Keane
Neeskens Kebano,COD,FWMF,Fulham,Premier League,28.0,1992.0,1.3,0,6,0,0.0,4.54,0.0,0.0,,18.7,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Neeskens Kebano
Thilo Kehrer,GER,DF,Paris S-G,Ligue 1,23.0,1996.0,18.0,0,7,0,0.0,0.39,0.0,0.0,,12.4,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7,Thilo Kehrer
Habib Keita,MLI,MF,Lyon,Ligue 1,18.0,2002.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,9.0,0.0,0,0,0.4,0.4,0.38,-0.4,-0.4,Habib Keita
Naby Keïta,GUI,MF,Liverpool,Premier League,25.0,1995.0,5.8,0,9,2,22.2,1.56,0.35,0.0,0.0,19.5,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Naby Keita
Yannik Keitel,GER,MF,Freiburg,Bundesliga,20.0,2000.0,5.5,0,9,2,22.2,1.63,0.36,0.0,0.0,23.5,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Yannik Keitel
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,21.0,1998.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Caoimhin Kelleher
Stephane Keller,CMR,DF,Alavés,La Liga,18.0,2001.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Stephane Keller
Martin Kelly,ENG,DF,Crystal Palace,Premier League,30.0,1990.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Martin Kelly
Marc-Oliver Kempf,GER,DF,Stuttgart,Bundesliga,25.0,1995.0,30.3,2,16,6,37.5,0.53,0.2,0.13,0.33,17.1,0.0,0,0,1.3,1.3,0.08,0.7,0.7,Marc Oliver Kempf
Kenedy,BRA,FWMF,Granada,La Liga,24.0,1996.0,16.3,4,36,12,33.3,2.2,0.73,0.11,0.33,26.2,7.0,0,0,2.1,2.1,0.06,1.9,1.9,Kenedy
Jonjoe Kenny,ENG,DF,Everton,Premier League,23.0,1997.0,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Jonjoe Kenny
Franck Kessié,CIV,MF,Milan,Serie A,23.0,1996.0,35.8,13,36,8,22.2,1.0,0.22,0.06,0.25,18.2,0.0,11,13,13.6,3.7,0.1,-0.6,-1.7,Franck Kessie
Reda Khadra,GER,FW,Brighton,Premier League,19.0,2001.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Reda Khadra
Omar Khailoti,ITA,DF,Bologna,Serie A,18.0,2001.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Omar Khailoti
Saîf-Eddine Khaoui,TUN,FWMF,Marseille,Ligue 1,25.0,1995.0,6.7,2,11,6,54.5,1.63,0.89,0.18,0.33,18.1,0.0,0,0,0.8,0.8,0.07,1.2,1.2,Saif Eddine Khaoui
Wahbi Khazri,TUN,FW,Saint-Étienne,Ligue 1,29.0,1991.0,13.1,7,29,10,34.5,2.21,0.76,0.14,0.4,22.8,4.0,3,3,4.9,2.6,0.09,2.1,1.4,Wahbi Khazri
Rani Khedira,GER,MF,Augsburg,Bundesliga,26.0,1994.0,20.2,1,10,4,40.0,0.5,0.2,0.1,0.25,18.4,0.0,0,0,1.0,1.0,0.1,0.0,0.0,Rani Khedira
Sami Khedira,GER,MF,Hertha BSC,Bundesliga,33.0,1987.0,4.4,0,1,0,0.0,0.23,0.0,0.0,,24.0,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Sami Khedira
Kike,ESP,FW,Eibar,La Liga,30.0,1989.0,34.3,12,88,34,38.6,2.57,0.99,0.14,0.35,12.9,1.0,0,0,10.4,10.4,0.12,1.6,1.6,Kike
Luca Kilian,GER,DF,Mainz 05,Bundesliga,20.0,1999.0,4.2,0,1,0,0.0,0.24,0.0,0.0,,12.0,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Luca Kilian
Max Kilman,ENG,DF,Wolves,Premier League,23.0,1997.0,14.6,0,6,2,33.3,0.41,0.14,0.0,0.0,11.5,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Max Kilman
Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,25.0,1995.0,24.4,4,37,14,37.8,1.52,0.57,0.11,0.29,22.6,1.0,0,0,2.5,2.5,0.07,1.5,1.5,Joshua Kimmich
Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,24.0,1995.0,25.6,0,5,1,20.0,0.2,0.04,0.0,0.0,18.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Presnel Kimpembe
Joshua King,NOR,MFFW,Everton,Premier League,28.0,1992.0,1.6,0,3,1,33.3,1.82,0.61,0.0,0.0,12.4,0.0,0,0,0.8,0.8,0.27,-0.8,-0.8,Joshua King
Giorgos Kiriakopoulos,GRE,DF,Sassuolo,Serie A,24.0,1996.0,16.2,1,24,14,58.3,1.48,0.87,0.04,0.07,21.9,1.0,0,0,1.4,1.4,0.06,-0.4,-0.4,Giorgos Kiriakopoulos
Simon Kjær,DEN,DF,Milan,Serie A,31.0,1989.0,26.6,0,15,2,13.3,0.56,0.08,0.0,0.0,11.2,1.0,0,0,1.3,1.3,0.09,-1.3,-1.3,Simon Kjaer
Davy Klaassen,NED,MF,Werder Bremen,Bundesliga,27.0,1993.0,2.5,0,4,0,0.0,1.62,0.0,0.0,,21.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Davy Klaassen
Felix Klaus,GER,DFMF,Wolfsburg,Bundesliga,27.0,1992.0,1.5,0,1,0,0.0,0.66,0.0,0.0,,30.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Felix Klaus
Klauss,BRA,FW,Hoffenheim,Bundesliga,23.0,1997.0,0.6,0,1,1,100.0,1.76,1.76,0.0,0.0,8.0,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1,Klauss
Ragnar Klavan,EST,DF,Cagliari,Serie A,34.0,1985.0,8.6,0,6,1,16.7,0.7,0.12,0.0,0.0,16.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Ragnar Klavan
Philipp Klement,GER,MFFW,Stuttgart,Bundesliga,27.0,1992.0,4.7,1,7,3,42.9,1.5,0.64,0.14,0.33,23.2,1.0,0,0,0.3,0.3,0.04,0.7,0.7,Philipp Klement
Mateusz Klich,POL,MF,Leeds United,Premier League,30.0,1990.0,26.6,4,34,10,29.4,1.28,0.38,0.06,0.2,22.0,0.0,2,2,3.3,1.8,0.05,0.7,0.2,Mateusz Klich
Mateo Klimowicz,GER,FWMF,Stuttgart,Bundesliga,20.0,2000.0,13.3,1,33,10,30.3,2.48,0.75,0.03,0.1,17.8,0.0,0,0,3.8,3.8,0.12,-2.8,-2.8,Mateo Klimowicz
Fabian Klos,GER,FW,Arminia,Bundesliga,32.0,1987.0,30.1,5,52,19,36.5,1.73,0.63,0.08,0.21,13.9,0.0,1,2,7.9,6.4,0.12,-2.9,-2.4,Fabian Klos
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,24.0,1996.0,16.1,1,12,2,16.7,0.75,0.12,0.08,0.5,10.7,0.0,0,0,0.8,0.8,0.07,0.2,0.2,Lukas Klostermann
Justin Kluivert,NED,FW,RB Leipzig,Bundesliga,21.0,1999.0,9.0,3,18,7,38.9,1.99,0.77,0.17,0.43,16.2,0.0,0,0,3.6,3.6,0.2,-0.6,-0.6,Justin Kluivert
Justin Kluivert,NED,FWMF,Roma,Serie A,21.0,1999.0,0.2,0,1,0,0.0,4.74,0.0,0.0,,26.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Justin Kluivert
Lukas Klünter,GER,DF,Hertha BSC,Bundesliga,24.0,1996.0,11.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Lukas Klunter
Ansgar Knauff,GER,FWMF,Dortmund,Bundesliga,18.0,2002.0,0.8,1,2,1,50.0,2.54,1.27,0.5,1.0,15.1,0.0,0,0,0.1,0.1,0.05,0.9,0.9,Ansgar Knauff
Robin Knoche,GER,DF,Union Berlin,Bundesliga,28.0,1992.0,33.8,1,11,4,36.4,0.33,0.12,0.09,0.25,11.5,0.0,0,0,0.9,0.9,0.09,0.1,0.1,Robin Knoche
Gregor Kobel,SUI,GK,Stuttgart,Bundesliga,22.0,1997.0,33.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Gregor Kobel
Robin Koch,GER,DFMF,Leeds United,Premier League,24.0,1996.0,12.6,0,9,2,22.2,0.72,0.16,0.0,0.0,10.8,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,Robin Koch
Giorgi Kochorashvili,GEO,MF,Levante,La Liga,21.0,1999.0,0.3,0,1,0,0.0,3.91,0.0,0.0,,32.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Giorgi Kochorashvili
Kenan Kodro,BIH,FW,Valladolid,La Liga,26.0,1993.0,5.1,0,7,1,14.3,1.37,0.2,0.0,0.0,9.1,0.0,0,0,1.1,1.1,0.16,-1.1,-1.1,Kenan Kodro
Kenan Kodro,BIH,FWMF,Athletic Club,La Liga,26.0,1993.0,0.5,1,1,1,100.0,2.05,2.05,0.0,0.0,37.6,0.0,1,1,0.8,0.0,0.02,0.2,0.0,Kenan Kodro
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,26.0,1994.0,14.1,1,16,3,18.8,1.14,0.21,0.06,0.33,20.8,0.0,0,0,0.9,0.9,0.06,0.1,0.1,Dominik Kohr
Dominik Kohr,GER,MFFW,Eint Frankfurt,Bundesliga,26.0,1994.0,2.9,0,5,0,0.0,1.73,0.0,0.0,,18.7,1.0,0,0,0.5,0.5,0.11,-0.5,-0.5,Dominik Kohr
Koba Koindredi,FRA,MF,Valencia,La Liga,18.0,2001.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Koba Koindredi
Koke,ESP,MF,Atlético Madrid,La Liga,28.0,1992.0,33.6,1,17,7,41.2,0.51,0.21,0.06,0.14,20.0,0.0,0,0,1.9,1.9,0.11,-0.9,-0.9,Koke
Aleksandr Kokorin,RUS,FWMF,Fiorentina,Serie A,29.0,1991.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Aleksandr Kokorin
Aleksandar Kolarov,SRB,DF,Inter,Serie A,34.0,1985.0,4.3,0,6,2,33.3,1.38,0.46,0.0,0.0,29.8,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Aleksandar Kolarov
Sead Kolašinac,BIH,DF,Arsenal,Premier League,27.0,1993.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sead Kolasinac
Sead Kolašinac,BIH,DFMF,Schalke 04,Bundesliga,27.0,1993.0,15.8,1,6,1,16.7,0.38,0.06,0.17,1.0,15.6,0.0,0,0,0.4,0.4,0.06,0.6,0.6,Sead Kolasinac
Randal Kolo Muani,FRA,FW,Nantes,Ligue 1,21.0,1998.0,33.7,9,61,25,41.0,1.81,0.74,0.15,0.36,12.5,0.0,0,0,10.5,10.5,0.17,-1.5,-1.5,Randal Kolo Muani
Timothée Kolodziejczak,FRA,DF,Saint-Étienne,Ligue 1,28.0,1991.0,22.6,0,11,2,18.2,0.49,0.09,0.0,0.0,10.1,0.0,0,0,0.8,0.8,0.07,-0.8,-0.8,Timothee Kolodziejczak
Ghislain Konan,CIV,DF,Reims,Ligue 1,24.0,1995.0,29.0,2,8,4,50.0,0.28,0.14,0.25,0.5,22.6,0.0,0,0,0.3,0.3,0.04,1.7,1.7,Ghislain Konan
Ibrahima Konaté,FRA,DF,RB Leipzig,Bundesliga,21.0,1999.0,7.7,1,5,2,40.0,0.65,0.26,0.2,0.5,7.8,0.0,0,0,0.5,0.5,0.1,0.5,0.5,Ibrahima Konate
Moussa Konaté,SEN,FW,Dijon,Ligue 1,27.0,1993.0,13.3,5,33,8,24.2,2.48,0.6,0.12,0.5,13.1,0.0,1,2,5.3,3.8,0.11,-0.3,0.2,Moussa Konate
Geoffrey Kondogbia,CTA,MFFW,Atlético Madrid,La Liga,27.0,1993.0,6.8,0,5,2,40.0,0.74,0.29,0.0,0.0,21.9,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Geoffrey Kondogbia
Geoffrey Kondogbia,CTA,MF,Valencia,La Liga,27.0,1993.0,4.9,0,4,2,50.0,0.82,0.41,0.0,0.0,33.2,1.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Geoffrey Kondogbia
Lamine Koné,CIV,DF,Strasbourg,Ligue 1,31.0,1989.0,11.6,1,9,1,11.1,0.78,0.09,0.11,1.0,11.5,0.0,0,0,0.7,0.7,0.08,0.3,0.3,Lamine Kone
Moussa Koné,SEN,FW,Nîmes,Ligue 1,23.0,1996.0,19.5,9,31,16,51.6,1.59,0.82,0.29,0.56,14.9,0.0,0,0,6.7,6.7,0.21,2.3,2.3,Moussa Kone
Youssouf Koné,MLI,DFFW,Elche,La Liga,25.0,1995.0,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Youssouf Kone
Terence Kongolo,NED,DF,Fulham,Premier League,26.0,1994.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Terence Kongolo
Ezri Konsa,ENG,DF,Aston Villa,Premier League,22.0,1997.0,35.5,2,22,7,31.8,0.62,0.2,0.09,0.29,8.6,0.0,0,0,2.1,2.1,0.1,-0.1,-0.1,Ezri Konsa
Laurent Koscielny,FRA,DF,Bordeaux,Ligue 1,34.0,1985.0,24.6,0,6,1,16.7,0.24,0.04,0.0,0.0,6.4,0.0,0,0,1.0,1.0,0.18,-1.0,-1.0,Laurent Koscielny
Filip Kostić,SRB,DF,Eint Frankfurt,Bundesliga,27.0,1992.0,28.2,4,51,21,41.2,1.81,0.75,0.08,0.19,20.4,4.0,0,0,3.9,3.9,0.08,0.1,0.1,Filip Kostic
Márk Kosznovszky,HUN,MF,Parma,Serie A,18.0,2002.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,11.0,0.0,0,0,0.3,0.3,0.34,-0.3,-0.3,Mark Kosznovszky
Christian Kouamé,CIV,FW,Fiorentina,Serie A,22.0,1997.0,11.1,1,19,6,31.6,1.72,0.54,0.05,0.17,9.8,0.0,0,0,3.5,3.5,0.18,-2.5,-2.5,Christian Kouame
Nianzou Kouassi,FRA,DFMF,Bayern Munich,Bundesliga,18.0,2002.0,1.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Nianzou Kouassi
Kalidou Koulibaly,SEN,DF,Napoli,Serie A,29.0,1991.0,24.5,0,10,1,10.0,0.41,0.04,0.0,0.0,11.4,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Kalidou Koulibaly
Jules Koundé,FRA,DF,Sevilla,La Liga,21.0,1998.0,33.1,2,21,6,28.6,0.64,0.18,0.1,0.33,10.8,0.0,0,0,2.1,2.1,0.1,-0.1,-0.1,Jules Kounde
Boubakar Kouyaté,MLI,DF,Metz,Ligue 1,23.0,1997.0,21.8,1,12,4,33.3,0.55,0.18,0.08,0.25,8.6,0.0,0,0,1.3,1.3,0.11,-0.3,-0.3,Boubakar Kouyate
Cheikhou Kouyaté,SEN,DF,Crystal Palace,Premier League,30.0,1989.0,34.7,1,7,2,28.6,0.2,0.06,0.14,0.5,9.6,0.0,0,0,0.8,0.8,0.11,0.2,0.2,Cheikhou Kouyate
Mateo Kovačić,CRO,MF,Chelsea,Premier League,26.0,1994.0,20.2,0,23,4,17.4,1.14,0.2,0.0,0.0,22.9,0.0,0,0,1.0,1.0,0.04,-1.0,-1.0,Mateo Kovacic
Viktor Kovalenko,UKR,FW,Atalanta,Serie A,24.0,1996.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Viktor Kovalenko
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,25.0,1994.0,14.3,1,7,3,42.9,0.49,0.21,0.14,0.33,22.7,0.0,0,0,0.2,0.2,0.02,0.8,0.8,Emil Krafth
Andrej Kramarić,CRO,FWMF,Hoffenheim,Bundesliga,29.0,1991.0,26.4,20,92,40,43.5,3.48,1.51,0.16,0.38,17.3,7.0,5,5,16.4,12.6,0.14,3.6,2.4,Andrej Kramaric
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,29.0,1991.0,22.6,0,9,1,11.1,0.4,0.04,0.0,0.0,23.5,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Christoph Kramer
Jean-Philippe Krasso,FRA,FW,Saint-Étienne,Ligue 1,23.0,1997.0,2.5,0,4,3,75.0,1.61,1.21,0.0,0.0,12.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Jean Philippe Krasso
Toni Kroos,GER,MF,Real Madrid,La Liga,30.0,1990.0,23.5,3,34,12,35.3,1.45,0.51,0.09,0.25,21.8,1.0,0,0,2.2,2.2,0.07,0.8,0.8,Toni Kroos
Filip Krovinović,CRO,MF,West Brom,Premier League,24.0,1995.0,6.1,0,8,2,25.0,1.32,0.33,0.0,0.0,24.1,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Filip Krovinovic
Rade Krunić,BIH,MFFW,Milan,Serie A,26.0,1993.0,8.0,1,8,5,62.5,1.0,0.62,0.13,0.2,21.3,1.0,0,0,0.7,0.7,0.09,0.3,0.3,Rade Krunic
Max Kruse,GER,FWMF,Union Berlin,Bundesliga,32.0,1988.0,18.1,11,23,12,52.2,1.27,0.66,0.26,0.5,19.8,1.0,5,6,6.6,2.0,0.09,4.4,4.0,Max Kruse
