Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG,npxG,xA,npxG+xA,xG_per90,xA_per90,xG+xA_per90,npxG_per90,npxG+xA_per90,Name_no_spec_chars
Ansgar Knauff,GER,FWMF,Dortmund,Bundesliga,18.0,2002.0,4,0,71,0.8,1,1,1,0,0,0,0,1.27,1.27,2.54,1.27,2.54,0.1,0.1,1.0,1.1,0.12,1.23,1.36,0.12,1.36,Ansgar Knauff
Robin Knoche,GER,DF,Union Berlin,Bundesliga,28.0,1992.0,34,34,3042,33.8,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04,Robin Knoche
Gregor Kobel,SUI,GK,Stuttgart,Bundesliga,22.0,1997.0,33,33,2970,33.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gregor Kobel
Robin Koch,GER,DFMF,Leeds United,Premier League,24.0,1996.0,17,13,1132,12.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,0.06,0.01,0.08,0.06,0.08,Robin Koch
Giorgi Kochorashvili,GEO,MF,Levante,La Liga,21.0,1999.0,3,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.18,0.03,0.18,Giorgi Kochorashvili
Kenan Kodro,BIH,FW,Valladolid,La Liga,26.0,1993.0,14,4,459,5.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.1,1.2,0.21,0.03,0.24,0.21,0.24,Kenan Kodro
Kenan Kodro,BIH,FWMF,Athletic Club,La Liga,26.0,1993.0,3,0,44,0.5,1,0,0,1,1,1,0,2.05,0.0,2.05,0.0,0.0,0.8,0.0,0.0,0.0,1.6,0.0,1.6,0.04,0.04,Kenan Kodro
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,26.0,1994.0,17,14,1268,14.1,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.9,0.9,1.2,2.1,0.06,0.09,0.15,0.06,0.15,Dominik Kohr
Dominik Kohr,GER,MFFW,Eint Frankfurt,Bundesliga,26.0,1994.0,7,2,260,2.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.19,0.01,0.2,0.19,0.2,Dominik Kohr
Koba Koindredi,FRA,MF,Valencia,La Liga,18.0,2001.0,2,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Koba Koindredi
Koke,ESP,MF,Atlético Madrid,La Liga,28.0,1992.0,37,34,3021,33.6,1,2,1,0,0,9,0,0.03,0.06,0.09,0.03,0.09,1.9,1.9,2.6,4.5,0.06,0.08,0.13,0.06,0.13,Koke
Aleksandr Kokorin,RUS,FWMF,Fiorentina,Serie A,29.0,1991.0,4,0,94,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aleksandr Kokorin
Aleksandar Kolarov,SRB,DF,Inter,Serie A,34.0,1985.0,7,4,390,4.3,0,1,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,0.1,0.1,0.9,1.1,0.03,0.22,0.25,0.03,0.25,Aleksandar Kolarov
Sead Kolašinac,BIH,DF,Arsenal,Premier League,27.0,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sead Kolasinac
Sead Kolašinac,BIH,DFMF,Schalke 04,Bundesliga,27.0,1993.0,17,16,1426,15.8,1,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,0.4,0.4,1.6,2.0,0.02,0.1,0.13,0.02,0.13,Sead Kolasinac
Randal Kolo Muani,FRA,FW,Nantes,Ligue 1,21.0,1998.0,37,35,3029,33.7,9,4,9,0,0,3,0,0.27,0.12,0.39,0.27,0.39,10.5,10.5,6.1,16.6,0.31,0.18,0.49,0.31,0.49,Randal Kolo Muani
Timothée Kolodziejczak,FRA,DF,Saint-Étienne,Ligue 1,28.0,1991.0,24,23,2036,22.6,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,0.04,0.02,0.05,0.04,0.05,Timothee Kolodziejczak
Ghislain Konan,CIV,DF,Reims,Ligue 1,24.0,1995.0,31,29,2613,29.0,2,1,2,0,0,5,0,0.07,0.03,0.1,0.07,0.1,0.3,0.3,1.2,1.6,0.01,0.04,0.05,0.01,0.05,Ghislain Konan
Ibrahima Konaté,FRA,DF,RB Leipzig,Bundesliga,21.0,1999.0,14,8,695,7.7,1,0,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,0.5,0.5,0.0,0.5,0.06,0.0,0.06,0.06,0.06,Ibrahima Konate
Moussa Konaté,SEN,FW,Dijon,Ligue 1,27.0,1993.0,27,13,1196,13.3,5,1,4,1,2,4,0,0.38,0.08,0.45,0.3,0.38,5.3,3.8,0.8,4.6,0.4,0.06,0.46,0.28,0.35,Moussa Konate
Geoffrey Kondogbia,CTA,MFFW,Atlético Madrid,La Liga,27.0,1993.0,25,4,611,6.8,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,0.02,0.04,0.07,0.02,0.07,Geoffrey Kondogbia
Geoffrey Kondogbia,CTA,MF,Valencia,La Liga,27.0,1993.0,5,5,440,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Geoffrey Kondogbia
Lamine Koné,CIV,DF,Strasbourg,Ligue 1,31.0,1989.0,15,12,1042,11.6,1,0,1,0,0,3,0,0.09,0.0,0.09,0.09,0.09,0.7,0.7,0.0,0.7,0.06,0.0,0.06,0.06,0.06,Lamine Kone
Moussa Koné,SEN,FW,Nîmes,Ligue 1,23.0,1996.0,33,21,1755,19.5,9,0,9,0,0,2,0,0.46,0.0,0.46,0.46,0.46,6.7,6.7,1.3,8.0,0.34,0.07,0.41,0.34,0.41,Moussa Kone
Youssouf Koné,MLI,DFFW,Elche,La Liga,25.0,1995.0,3,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Youssouf Kone
Terence Kongolo,NED,DF,Fulham,Premier League,26.0,1994.0,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Terence Kongolo
Ezri Konsa,ENG,DF,Aston Villa,Premier League,22.0,1997.0,36,35,3196,35.5,2,0,2,0,0,3,0,0.06,0.0,0.06,0.06,0.06,2.1,2.1,0.2,2.3,0.06,0.01,0.07,0.06,0.07,Ezri Konsa
Laurent Koscielny,FRA,DF,Bordeaux,Ligue 1,34.0,1985.0,26,25,2218,24.6,0,2,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,1.0,1.0,1.2,2.2,0.04,0.05,0.09,0.04,0.09,Laurent Koscielny
Filip Kostić,SRB,DF,Eint Frankfurt,Bundesliga,27.0,1992.0,30,29,2534,28.2,4,14,4,0,0,4,0,0.14,0.5,0.64,0.14,0.64,3.9,3.9,11.5,15.4,0.14,0.41,0.55,0.14,0.55,Filip Kostic
Márk Kosznovszky,HUN,MF,Parma,Serie A,18.0,2002.0,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.34,0.0,0.34,0.34,0.34,Mark Kosznovszky
Christian Kouamé,CIV,FW,Fiorentina,Serie A,22.0,1997.0,33,9,995,11.1,1,1,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,3.5,3.5,1.2,4.7,0.32,0.11,0.43,0.32,0.43,Christian Kouame
Nianzou Kouassi,FRA,DFMF,Bayern Munich,Bundesliga,18.0,2002.0,6,0,118,1.3,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nianzou Kouassi
Kalidou Koulibaly,SEN,DF,Napoli,Serie A,29.0,1991.0,26,25,2209,24.5,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,1.0,0.03,0.01,0.04,0.03,0.04,Kalidou Koulibaly
Jules Koundé,FRA,DF,Sevilla,La Liga,21.0,1998.0,34,33,2975,33.1,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.7,2.8,0.06,0.02,0.08,0.06,0.08,Jules Kounde
Boubakar Kouyaté,MLI,DF,Metz,Ligue 1,23.0,1997.0,25,21,1964,21.8,1,0,1,0,0,10,0,0.05,0.0,0.05,0.05,0.05,1.3,1.3,0.3,1.6,0.06,0.01,0.07,0.06,0.07,Boubakar Kouyate
Cheikhou Kouyaté,SEN,DF,Crystal Palace,Premier League,30.0,1989.0,36,35,3121,34.7,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,0.8,0.8,0.2,1.0,0.02,0.01,0.03,0.02,0.03,Cheikhou Kouyate
Mateo Kovačić,CRO,MF,Chelsea,Premier League,26.0,1994.0,27,21,1815,20.2,0,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,1.0,1.0,1.8,2.9,0.05,0.09,0.14,0.05,0.14,Mateo Kovacic
Viktor Kovalenko,UKR,FW,Atalanta,Serie A,24.0,1996.0,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Viktor Kovalenko
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,25.0,1994.0,16,14,1288,14.3,1,0,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Emil Krafth
Andrej Kramarić,CRO,FWMF,Hoffenheim,Bundesliga,29.0,1991.0,28,26,2379,26.4,20,5,15,5,5,2,0,0.76,0.19,0.95,0.57,0.76,16.4,12.6,4.6,17.3,0.62,0.18,0.8,0.48,0.65,Andrej Kramaric
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,29.0,1991.0,28,23,2033,22.6,0,2,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,1.2,1.6,0.02,0.05,0.07,0.02,0.07,Christoph Kramer
Jean-Philippe Krasso,FRA,FW,Saint-Étienne,Ligue 1,23.0,1997.0,6,2,223,2.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.08,0.17,0.25,0.08,0.25,Jean Philippe Krasso
Toni Kroos,GER,MF,Real Madrid,La Liga,30.0,1990.0,28,24,2117,23.5,3,10,3,0,0,6,0,0.13,0.43,0.55,0.13,0.55,2.2,2.2,6.7,8.9,0.09,0.28,0.38,0.09,0.38,Toni Kroos
Filip Krovinović,CRO,MF,West Brom,Premier League,24.0,1995.0,11,5,546,6.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09,Filip Krovinovic
Rade Krunić,BIH,MFFW,Milan,Serie A,26.0,1993.0,25,5,723,8.0,1,2,1,0,0,3,0,0.12,0.25,0.37,0.12,0.37,0.7,0.7,1.1,1.8,0.09,0.14,0.23,0.09,0.23,Rade Krunic
Max Kruse,GER,FWMF,Union Berlin,Bundesliga,32.0,1988.0,22,19,1629,18.1,11,5,6,5,6,0,0,0.61,0.28,0.88,0.33,0.61,6.6,2.0,4.5,6.5,0.37,0.25,0.62,0.11,0.36,Max Kruse
Lukas Kübler,GER,DF,Freiburg,Bundesliga,27.0,1992.0,19,11,884,9.8,0,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.3,0.4,0.01,0.04,0.04,0.01,0.04,Lukas Kubler
Takefusa Kubo,JPN,MFFW,Villarreal,La Liga,19.0,2001.0,13,2,299,3.3,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,1.9,0.41,0.16,0.57,0.41,0.57,Takefusa Kubo
Takefusa Kubo,JPN,MFFW,Getafe,La Liga,19.0,2001.0,18,8,805,8.9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,0.8,1.7,0.1,0.09,0.19,0.1,0.19,Takefusa Kubo
Juraj Kucka,SVK,MFFW,Parma,Serie A,33.0,1987.0,28,28,2334,25.9,7,2,3,4,4,8,0,0.27,0.08,0.35,0.12,0.19,6.8,3.8,1.8,5.6,0.26,0.07,0.33,0.15,0.22,Juraj Kucka
Kuki,ESP,MF,Valladolid,La Liga,22.0,1998.0,2,0,30,0.3,0,1,0,0,0,0,0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.1,0.1,0.0,0.16,0.16,0.0,0.16,Kuki
Dejan Kulusevski,SWE,MFFW,Juventus,Serie A,20.0,2000.0,35,19,1923,21.4,4,3,4,0,0,7,0,0.19,0.14,0.33,0.19,0.33,2.9,2.9,6.4,9.4,0.14,0.3,0.44,0.14,0.44,Dejan Kulusevski
Marash Kumbulla,ALB,DF,Roma,Serie A,20.0,2000.0,21,14,1363,15.1,1,0,1,0,0,8,0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09,Marash Kumbulla
Pierre Kunde,CMR,MF,Mainz 05,Bundesliga,25.0,1995.0,11,6,513,5.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,0.03,0.15,0.18,0.03,0.18,Pierre Kunde
Fabian Kunze,GER,MF,Arminia,Bundesliga,22.0,1998.0,26,12,1270,14.1,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.04,0.03,0.06,0.04,0.06,Fabian Kunze
Jasmin Kurtić,SVN,MF,Parma,Serie A,31.0,1989.0,34,31,2739,30.4,4,0,4,0,0,5,0,0.13,0.0,0.13,0.13,0.13,3.7,3.7,2.0,5.7,0.12,0.07,0.19,0.12,0.19,Jasmin Kurtic
Layvin Kurzawa,FRA,DF,Paris S-G,Ligue 1,27.0,1992.0,19,15,1278,14.2,1,1,1,0,0,4,1,0.07,0.07,0.14,0.07,0.14,0.7,0.7,1.7,2.4,0.05,0.12,0.17,0.05,0.17,Layvin Kurzawa
Dereck Kutesa,SUI,MFFW,Reims,Ligue 1,22.0,1997.0,28,6,687,7.6,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.9,0.9,0.8,1.7,0.12,0.1,0.23,0.12,0.23,Dereck Kutesa
Ahmed Kutucu,TUR,FWMF,Schalke 04,Bundesliga,20.0,2000.0,7,0,108,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.21,0.01,0.22,0.21,0.22,Ahmed Kutucu
Enock Kwateng,FRA,DF,Bordeaux,Ligue 1,23.0,1997.0,18,12,1038,11.5,1,0,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,0.4,0.4,1.0,1.4,0.03,0.09,0.12,0.03,0.12,Enock Kwateng
Antonino La Gumina,ITA,FW,Sampdoria,Serie A,24.0,1996.0,9,4,341,3.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.13,0.0,0.13,0.13,0.13,Antonino La Gumina
Gaëtan Laborde,FRA,FWMF,Montpellier,Ligue 1,26.0,1994.0,38,38,3256,36.2,16,8,16,0,0,3,0,0.44,0.22,0.66,0.44,0.66,11.7,11.7,4.9,16.5,0.32,0.13,0.46,0.32,0.46,Gaetan Laborde
Alexandre Lacazette,FRA,FW,Arsenal,Premier League,29.0,1991.0,31,22,1923,21.4,13,2,10,3,3,3,0,0.61,0.09,0.7,0.47,0.56,9.7,7.4,2.7,10.1,0.46,0.13,0.58,0.35,0.47,Alexandre Lacazette
Tom Lacoux,FRA,MF,Bordeaux,Ligue 1,18.0,2002.0,13,6,523,5.8,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Tom Lacoux
Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,20.0,2000.0,30,29,2590,28.8,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,1.6,1.6,0.4,1.9,0.05,0.01,0.07,0.05,0.07,Maxence Lacroix
Alban Lafont,FRA,GK,Nantes,Ligue 1,21.0,1999.0,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alban Lafont
Víctor Laguardia,ESP,DF,Alavés,La Liga,30.0,1989.0,32,30,2631,29.2,0,1,0,0,0,5,1,0.0,0.03,0.03,0.0,0.03,1.1,1.1,1.0,2.1,0.04,0.03,0.07,0.04,0.07,Victor Laguardia
Konrad Laimer,AUT,DFFW,RB Leipzig,Bundesliga,23.0,1997.0,3,1,84,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.41,0.0,0.41,0.41,0.41,Konrad Laimer
Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,27.0,1992.0,33,31,2768,30.8,2,2,2,0,0,2,0,0.07,0.07,0.13,0.07,0.13,2.3,2.3,2.4,4.7,0.08,0.08,0.15,0.08,0.15,Stefan Lainer
Diego Lainez,MEX,FW,Betis,La Liga,20.0,2000.0,21,8,862,9.6,0,2,0,0,0,5,0,0.0,0.21,0.21,0.0,0.21,0.9,0.9,0.9,1.8,0.1,0.09,0.19,0.1,0.19,Diego Lainez
Kenny Lala,FRA,DF,Strasbourg,Ligue 1,28.0,1991.0,21,21,1834,20.4,3,2,0,3,3,1,0,0.15,0.1,0.25,0.0,0.1,2.5,0.3,4.0,4.3,0.12,0.2,0.32,0.01,0.21,Kenny Lala
Adam Lallana,ENG,MFFW,Brighton,Premier League,32.0,1988.0,30,16,1596,17.7,1,1,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,2.8,5.3,0.14,0.16,0.3,0.14,0.3,Adam Lallana
Érik Lamela,ARG,FWMF,Tottenham,Premier League,28.0,1992.0,23,5,717,8.0,1,0,1,0,0,6,1,0.13,0.0,0.13,0.13,0.13,1.4,1.4,0.9,2.4,0.18,0.12,0.3,0.18,0.3,Erik Lamela
Sam Lammers,NED,FWMF,Atalanta,Serie A,23.0,1997.0,15,1,291,3.2,2,0,2,0,0,0,0,0.62,0.0,0.62,0.62,0.62,1.3,1.3,0.3,1.6,0.39,0.1,0.49,0.39,0.49,Sam Lammers
Tariq Lamptey,ENG,DF,Brighton,Premier League,19.0,2000.0,11,11,886,9.8,1,1,1,0,0,4,1,0.1,0.1,0.2,0.1,0.2,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17,Tariq Lamptey
Loïck Landre,FRA,DF,Nîmes,Ligue 1,28.0,1992.0,20,20,1626,18.1,1,0,1,0,0,2,1,0.06,0.0,0.06,0.06,0.06,1.4,1.4,0.0,1.4,0.08,0.0,0.08,0.08,0.08,Loick Landre
Michael Langer,AUT,GK,Schalke 04,Bundesliga,35.0,1985.0,3,2,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Langer
Manuel Lanzini,ARG,MFFW,West Ham,Premier League,27.0,1993.0,17,5,566,6.3,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,1.2,1.2,0.9,2.0,0.18,0.14,0.32,0.18,0.32,Manuel Lanzini
Gianluca Lapadula,PER,FW,Benevento,Serie A,30.0,1990.0,37,29,2563,28.5,8,2,8,0,1,2,0,0.28,0.07,0.35,0.28,0.35,10.2,9.3,3.9,13.2,0.36,0.14,0.49,0.33,0.46,Gianluca Lapadula
Aymeric Laporte,ESP,DF,Manchester City,Premier League,26.0,1994.0,16,14,1344,14.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.7,1.5,0.05,0.05,0.1,0.05,0.1,Aymeric Laporte
Julien Laporte,FRA,DF,Lorient,Ligue 1,26.0,1993.0,30,30,2659,29.5,0,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.7,0.01,0.01,0.02,0.01,0.02,Julien Laporte
Danilo Larangeira,BRA,DF,Bologna,Serie A,36.0,1984.0,35,34,3132,34.8,0,1,0,0,0,8,0,0.0,0.03,0.03,0.0,0.03,0.7,0.7,1.1,1.8,0.02,0.03,0.05,0.02,0.05,Danilo Larangeira
Gautier Larsonneur,FRA,GK,Brest,Ligue 1,23.0,1997.0,35,35,3150,35.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gautier Larsonneur
Kevin Lasagna,ITA,FW,Udinese,Serie A,27.0,1992.0,17,12,1103,12.3,2,1,2,0,0,1,0,0.16,0.08,0.24,0.16,0.24,7.3,7.3,0.6,8.0,0.6,0.05,0.65,0.6,0.65,Kevin Lasagna
Kevin Lasagna,ITA,FW,Hellas Verona,Serie A,27.0,1992.0,19,14,1267,14.1,2,0,2,0,0,0,0,0.14,0.0,0.14,0.14,0.14,3.4,3.4,1.1,4.5,0.24,0.08,0.32,0.24,0.32,Kevin Lasagna
Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,26.0,1993.0,19,19,1625,18.1,2,0,2,0,0,4,0,0.11,0.0,0.11,0.11,0.11,1.0,1.0,0.0,1.0,0.05,0.0,0.06,0.05,0.06,Jamaal Lascelles
Paul Lasne,FRA,MF,Brest,Ligue 1,31.0,1989.0,22,19,1681,18.7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.03,0.03,0.05,0.03,0.05,Paul Lasne
Toni Lato,ESP,DF,Valencia,La Liga,22.0,1997.0,15,8,728,8.1,1,0,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,1.0,1.0,0.3,1.3,0.12,0.04,0.16,0.12,0.16,Toni Lato
Danny Latza,GER,MF,Mainz 05,Bundesliga,30.0,1989.0,29,21,1800,20.0,0,2,0,0,0,8,0,0.0,0.1,0.1,0.0,0.1,1.9,1.9,2.2,4.1,0.1,0.11,0.2,0.1,0.2,Danny Latza
Armand Lauriente,FRA,FWMF,Lorient,Ligue 1,21.0,1998.0,29,16,1622,18.0,3,5,3,0,0,4,0,0.17,0.28,0.44,0.17,0.44,3.2,3.2,5.2,8.4,0.18,0.29,0.46,0.18,0.46,Armand Lauriente
Vincent Laurini,FRA,DF,Parma,Serie A,31.0,1989.0,14,10,870,9.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Vincent Laurini
Lauti,URU,MFFW,Celta Vigo,La Liga,19.0,2001.0,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lauti
Wesley Lautoa,NCL,MFDF,Dijon,Ligue 1,32.0,1987.0,25,19,1608,17.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,0.04,0.01,0.04,0.04,0.04,Wesley Lautoa
Valentino Lazaro,AUT,DFFW,M'Gladbach,Bundesliga,24.0,1996.0,22,13,1240,13.8,2,0,2,0,0,3,0,0.15,0.0,0.15,0.15,0.15,2.0,2.0,1.0,3.1,0.15,0.08,0.22,0.15,0.22,Valentino Lazaro
Darko Lazović,SRB,DF,Hellas Verona,Serie A,29.0,1990.0,32,27,2503,27.8,3,6,3,0,0,3,0,0.11,0.22,0.32,0.11,0.32,2.9,2.9,4.1,7.1,0.11,0.15,0.25,0.11,0.25,Darko Lazovic
Manuel Lazzari,ITA,DF,Lazio,Serie A,26.0,1993.0,32,30,2613,29.0,2,5,2,0,0,2,1,0.07,0.17,0.24,0.07,0.24,2.2,2.2,3.9,6.1,0.08,0.13,0.21,0.08,0.21,Manuel Lazzari
Jérémy Le Douaron,FRA,FWMF,Brest,Ligue 1,22.0,1998.0,28,7,816,9.1,1,2,1,0,0,0,0,0.11,0.22,0.33,0.11,0.33,1.7,1.7,0.5,2.2,0.19,0.06,0.25,0.19,0.25,Jeremy Le Douaron
Enzo Le Fée,FRA,MFFW,Lorient,Ligue 1,20.0,2000.0,36,21,1816,20.2,0,5,0,0,0,6,0,0.0,0.25,0.25,0.0,0.25,1.2,1.2,4.6,5.8,0.06,0.23,0.29,0.06,0.29,Enzo Le Fee
Vincent Le Goff,FRA,DF,Lorient,Ligue 1,30.0,1989.0,26,26,2306,25.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.3,2.5,0.01,0.09,0.1,0.01,0.1,Vincent Le Goff
Maxime Le Marchand,FRA,DF,Fulham,Premier League,30.0,1989.0,2,1,123,1.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Maxime Le Marchand
Robin Le Normand,FRA,DF,Real Sociedad,La Liga,23.0,1996.0,33,30,2747,30.5,0,1,0,0,0,5,1,0.0,0.03,0.03,0.0,0.03,2.0,2.0,0.1,2.1,0.07,0.0,0.07,0.07,0.07,Robin Le Normand
Damien Le Tallec,FRA,MFDF,Montpellier,Ligue 1,30.0,1990.0,23,13,1227,13.6,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.3,1.6,0.09,0.02,0.12,0.09,0.12,Damien Le Tallec
James Lea Siliki,CMR,MF,Rennes,Ligue 1,24.0,1996.0,7,3,255,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.09,0.01,0.11,0.09,0.11,James Lea Siliki
Rafael Leão,POR,FW,Milan,Serie A,21.0,1999.0,30,22,1924,21.4,6,6,6,0,0,5,0,0.28,0.28,0.56,0.28,0.56,5.7,5.7,4.5,10.2,0.27,0.21,0.48,0.27,0.48,Rafael Leao
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,34.0,1985.0,37,37,3313,36.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,Jean Louis Leca
Mathew Leckie,AUS,FWDF,Hertha BSC,Bundesliga,29.0,1991.0,17,5,506,5.6,0,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,0.1,0.1,0.6,0.8,0.02,0.12,0.13,0.02,0.13,Mathew Leckie
Benjamin Lecomte,FRA,GK,Monaco,Ligue 1,29.0,1991.0,28,28,2520,28.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benjamin Lecomte
