Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG,npxG,xA,npxG+xA,xG_per90,xA_per90,xG+xA_per90,npxG_per90,npxG+xA_per90,Name_no_spec_chars
Paul Akouokou,CIV,MF,Betis,La Liga,22.0,1997.0,10,4,378,4.2,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.08,0.08,0.0,0.08,Paul Akouokou
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27.0,1992.0,32,6,1056,11.7,0,1,0,0,0,9,0,0.0,0.09,0.09,0.0,0.09,0.9,0.9,0.9,1.8,0.08,0.08,0.16,0.08,0.16,Jean Daniel Akpa Akpro
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25.0,1995.0,16,14,1184,13.2,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0.1,0.1,0.4,0.4,0.0,0.03,0.03,0.0,0.03,Kevin Akpoguma
David Alaba,AUT,DFMF,Bayern Munich,Bundesliga,28.0,1992.0,32,30,2675,29.7,2,4,2,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.3,1.3,2.3,3.6,0.04,0.08,0.12,0.04,0.12,David Alaba
Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22.0,1998.0,22,17,1505,16.7,0,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.2,1.3,0.01,0.07,0.08,0.01,0.08,Sofiane Alakouch
Jony Álamo,ESP,MF,Elche,La Liga,18.0,2001.0,1,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Jony Alamo
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27.0,1992.0,25,12,1245,13.8,11,2,9,2,2,2,0,0.8,0.14,0.94,0.65,0.8,6.5,5.0,0.7,5.7,0.47,0.05,0.52,0.36,0.41,Lucas Alario
Jordi Alba,ESP,DF,Barcelona,La Liga,31.0,1989.0,35,34,3025,33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29,Jordi Alba
Luis Alberto,ESP,MF,Lazio,Serie A,27.0,1992.0,34,33,2618,29.1,9,2,9,0,0,5,0,0.31,0.07,0.38,0.31,0.38,5.5,5.3,8.2,13.5,0.19,0.28,0.47,0.18,0.46,Luis Alberto
Raúl Albiol,ESP,DF,Villarreal,La Liga,34.0,1985.0,35,35,3115,34.6,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,0.02,0.03,0.05,0.02,0.05,Raul Albiol
Marc Albrighton,ENG,DFFW,Leicester City,Premier League,30.0,1989.0,31,17,1746,19.4,1,5,1,0,0,2,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,Marc Albrighton
Paco Alcácer,ESP,FW,Villarreal,La Liga,26.0,1993.0,27,19,1544,17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58,Paco Alcacer
Pedro Alcalá,ESP,DF,Cádiz,La Liga,31.0,1989.0,13,8,909,10.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Pedro Alcala
Thiago Alcántara,ESP,MF,Liverpool,Premier League,29.0,1991.0,24,20,1854,20.6,1,0,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,Thiago Alcantara
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29.0,1991.0,30,25,2165,24.1,1,0,1,0,0,10,0,0.04,0.0,0.04,0.04,0.04,1.7,1.7,0.6,2.3,0.07,0.03,0.09,0.07,0.09,Ruben Alcaraz
