Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Kingsley Coman,FRA,FWMF,Bayern Munich,Bundesliga,24.0,1996.0,19.5,20.0,12,9.0,9.0,2.0,8.0,27.0,29.6,19.0,320.0,102.0,31.9,56.0,133.0,131.0,24.0,0.0,0.0,24.0,12,32.0,5.0,0.0,Kingsley Coman
Daniel Congré,FRA,DF,Montpellier,Ligue 1,35.0,1985.0,36.6,58.0,36,48.0,10.0,0.0,32.0,68.0,47.1,36.0,329.0,131.0,39.8,209.0,106.0,14.0,67.0,35.0,0.0,32.0,45,103.0,189.0,3.0,Daniel Congre
Aaron Connolly,IRL,FW,Brighton,Premier League,20.0,2000.0,8.8,7.0,5,2.0,4.0,1.0,1.0,5.0,20.0,4.0,124.0,40.0,32.3,7.0,58.0,59.0,9.0,1.0,0.0,8.0,0,7.0,1.0,0.0,Aaron Connolly
Andrea Consigli,ITA,GK,Sassuolo,Serie A,33.0,1987.0,37.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,1.0,11.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Andrea Consigli
Andrea Conti,ITA,DF,Milan,Serie A,26.0,1994.0,0.3,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,8.0,4.0,50.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,1,2.0,1.0,0.0,Andrea Conti
Andrea Conti,ITA,DF,Parma,Serie A,26.0,1994.0,9.0,30.0,18,20.0,8.0,2.0,10.0,30.0,33.3,20.0,128.0,37.0,28.9,70.0,43.0,15.0,17.0,4.0,0.0,13.0,24,54.0,18.0,0.0,Andrea Conti
Liam Cooper,SCO,DF,Leeds United,Premier League,28.0,1991.0,24.3,76.0,47,48.0,27.0,1.0,34.0,58.0,58.6,24.0,291.0,115.0,39.5,181.0,102.0,8.0,45.0,31.0,0.0,14.0,53,129.0,123.0,1.0,Liam Cooper
Francis Coquelin,FRA,MF,Villarreal,La Liga,29.0,1991.0,8.2,21.0,9,3.0,15.0,3.0,5.0,11.0,45.5,6.0,127.0,38.0,29.9,37.0,73.0,17.0,12.0,2.0,0.0,10.0,17,38.0,12.0,0.0,Francis Coquelin
Theo Corbeanu,CAN,FW,Wolves,Premier League,18.0,2002.0,0.1,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,Theo Corbeanu
Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29.0,1990.0,23.0,53.0,25,28.0,15.0,10.0,22.0,50.0,44.0,28.0,287.0,95.0,33.1,112.0,125.0,50.0,47.0,10.0,0.0,37.0,26,79.0,72.0,0.0,Sebastien Corchia
Alex Cordaz,ITA,GK,Crotone,Serie A,37.0,1983.0,36.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,Alex Cordaz
Iñigo Córdoba,ESP,FWMF,Athletic Club,La Liga,23.0,1997.0,1.1,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,23.0,7.0,30.4,6.0,7.0,10.0,3.0,0.0,0.0,3.0,1,1.0,1.0,0.0,Inigo Cordoba
Iñigo Córdoba,ESP,MF,Alavés,La Liga,23.0,1997.0,2.4,7.0,5,3.0,2.0,2.0,2.0,10.0,20.0,8.0,85.0,17.0,20.0,27.0,39.0,19.0,8.0,0.0,0.0,8.0,4,11.0,1.0,0.0,Inigo Cordoba
Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27.0,1993.0,17.1,11.0,4,1.0,5.0,5.0,2.0,9.0,22.2,7.0,266.0,78.0,29.3,20.0,128.0,118.0,16.0,2.0,0.0,14.0,9,20.0,4.0,0.0,Jhon Cordoba
Sergio Córdova,VEN,FWMF,Arminia,Bundesliga,22.0,1997.0,12.1,16.0,11,1.0,9.0,6.0,3.0,14.0,21.4,11.0,269.0,57.0,21.2,21.0,150.0,98.0,14.0,2.0,0.0,12.0,6,22.0,14.0,0.0,Sergio Cordova
Jack Cork,ENG,MF,Burnley,Premier League,31.0,1989.0,15.0,25.0,16,6.0,15.0,4.0,9.0,27.0,33.3,18.0,234.0,71.0,30.3,58.0,121.0,55.0,20.0,6.0,0.0,14.0,15,40.0,24.0,0.0,Jack Cork
Andreas Cornelius,DEN,FW,Parma,Serie A,27.0,1993.0,21.1,9.0,5,1.0,3.0,5.0,2.0,12.0,16.7,10.0,274.0,66.0,24.1,22.0,101.0,151.0,11.0,3.0,0.0,8.0,1,10.0,29.0,1.0,Andreas Cornelius
