Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Bryan Dabo,BFA,MF,Benevento,Serie A,28.0,1992.0,12.4,15.0,8,9.0,4.0,2.0,6.0,17.0,35.3,11.0,181.0,52.0,28.7,59.0,93.0,29.0,15.0,2.0,0.0,13.0,14,29.0,18.0,0.0,Bryan Dabo
Moanes Dabour,ISR,FW,Hoffenheim,Bundesliga,28.0,1992.0,11.1,12.0,8,5.0,4.0,3.0,4.0,15.0,26.7,11.0,188.0,60.0,31.9,21.0,91.0,76.0,10.0,1.0,0.0,9.0,6,18.0,5.0,0.0,Moanes Dabour
Colin Dagba,FRA,DF,Paris S-G,Ligue 1,21.0,1998.0,15.1,26.0,13,6.0,15.0,5.0,11.0,25.0,44.0,14.0,209.0,66.0,31.6,66.0,89.0,54.0,33.0,6.0,1.0,27.0,12,38.0,26.0,0.0,Colin Dagba
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,22.0,1998.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Finn Dahmen
Mahmoud Dahoud,GER,MF,Dortmund,Bundesliga,24.0,1996.0,14.0,36.0,24,12.0,20.0,4.0,11.0,38.0,28.9,27.0,295.0,82.0,27.8,83.0,171.0,41.0,31.0,7.0,0.0,24.0,21,57.0,14.0,0.0,Mahmoud Dahoud
Leon Dajaku,GER,FW,Union Berlin,Bundesliga,19.0,2001.0,0.4,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,7.0,1.0,14.3,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Leon Dajaku
Stuart Dallas,NIR,DFMF,Leeds United,Premier League,29.0,1991.0,37.9,79.0,52,46.0,28.0,5.0,29.0,100.0,29.0,71.0,587.0,190.0,32.4,223.0,279.0,85.0,55.0,3.0,0.0,52.0,59,138.0,55.0,1.0,Stuart Dallas
Diogo Dalot,POR,DF,Milan,Serie A,21.0,1999.0,12.1,37.0,17,26.0,9.0,2.0,23.0,37.0,62.2,14.0,180.0,38.0,21.1,98.0,61.0,21.0,26.0,5.0,0.0,21.0,18,55.0,54.0,0.0,Diogo Dalot
Mikkel Damsgaard,DEN,MFFW,Sampdoria,Serie A,20.0,2000.0,19.7,50.0,28,17.0,25.0,8.0,16.0,74.0,21.6,58.0,575.0,148.0,25.7,130.0,280.0,165.0,43.0,4.0,0.0,39.0,28,78.0,13.0,0.0,Mikkel Damsgaard
Flavius Daniliuc,AUT,DF,Nice,Ligue 1,19.0,2001.0,16.4,29.0,12,19.0,7.0,3.0,15.0,26.0,57.7,11.0,168.0,49.0,29.2,91.0,57.0,20.0,20.0,7.0,0.0,13.0,19,48.0,47.0,1.0,Flavius Daniliuc
Danilo,BRA,DF,Juventus,Serie A,29.0,1991.0,32.4,60.0,37,39.0,13.0,8.0,24.0,59.0,40.7,35.0,249.0,80.0,32.1,134.0,85.0,30.0,54.0,13.0,0.0,41.0,44,104.0,82.0,0.0,Danilo
Scott Dann,ENG,DF,Crystal Palace,Premier League,33.0,1987.0,15.0,10.0,7,9.0,1.0,0.0,3.0,12.0,25.0,9.0,62.0,17.0,27.4,41.0,20.0,1.0,26.0,16.0,0.0,10.0,8,18.0,75.0,1.0,Scott Dann
Tiago Dantas,POR,MF,Bayern Munich,Bundesliga,19.0,2000.0,0.8,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,2.0,20.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Tiago Dantas
Dante,BRA,DF,Nice,Ligue 1,36.0,1983.0,8.6,8.0,7,5.0,3.0,0.0,3.0,9.0,33.3,6.0,53.0,20.0,37.7,29.0,23.0,1.0,6.0,4.0,0.0,2.0,2,10.0,32.0,0.0,Dante
Andrea Danzi,ITA,MFDF,Hellas Verona,Serie A,21.0,1999.0,1.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,40.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1,1.0,2.0,0.0,Andrea Danzi
Ebrima Darboe,GAM,MF,Roma,Serie A,19.0,2001.0,3.6,6.0,4,1.0,3.0,2.0,2.0,11.0,18.2,9.0,67.0,21.0,31.3,13.0,43.0,11.0,3.0,0.0,0.0,3.0,13,19.0,0.0,1.0,Ebrima Darboe
Márton Dárdai,GER,DF,Hertha BSC,Bundesliga,18.0,2002.0,9.1,18.0,11,12.0,5.0,1.0,8.0,16.0,50.0,8.0,90.0,26.0,28.9,51.0,35.0,4.0,14.0,3.0,0.0,11.0,15,33.0,41.0,0.0,Marton Dardai
Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,29.0,1990.0,21.1,37.0,24,17.0,15.0,5.0,9.0,35.0,25.7,26.0,407.0,131.0,32.2,99.0,219.0,89.0,35.0,2.0,0.0,33.0,32,69.0,24.0,0.0,Vladimir Darida
Karl Darlow,ENG,GK,Newcastle Utd,Premier League,29.0,1990.0,25.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0.0,Karl Darlow
Matteo Darmian,ITA,DF,Inter,Serie A,30.0,1989.0,12.9,26.0,13,14.0,4.0,8.0,10.0,25.0,40.0,15.0,176.0,45.0,25.6,66.0,61.0,49.0,15.0,1.0,0.0,14.0,16,42.0,30.0,0.0,Matteo Darmian
Matteo Darmian,ITA,DF,Parma,Serie A,30.0,1989.0,2.3,6.0,3,3.0,3.0,0.0,3.0,8.0,37.5,5.0,40.0,11.0,27.5,22.0,17.0,1.0,3.0,0.0,0.0,3.0,3,9.0,11.0,0.0,Matteo Darmian
Jonathan David,CAN,FW,Lille,Ligue 1,20.0,2000.0,26.2,21.0,13,5.0,8.0,8.0,6.0,19.0,31.6,13.0,535.0,149.0,27.9,39.0,198.0,298.0,23.0,1.0,0.0,22.0,15,36.0,7.0,0.0,Jonathan David
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,19.0,2000.0,19.6,48.0,38,18.0,22.0,8.0,20.0,30.0,66.7,10.0,246.0,98.0,39.8,91.0,96.0,59.0,44.0,1.0,0.0,43.0,46,94.0,34.0,1.0,Alphonso Davies
Ben Davies,WAL,DF,Tottenham,Premier League,27.0,1993.0,15.0,26.0,13,14.0,8.0,4.0,10.0,29.0,34.5,19.0,184.0,42.0,22.8,91.0,64.0,29.0,24.0,5.0,0.0,19.0,13,39.0,72.0,0.0,Ben Davies
Tom Davies,ENG,MF,Everton,Premier League,22.0,1998.0,15.8,33.0,28,21.0,11.0,1.0,10.0,40.0,25.0,30.0,272.0,91.0,33.5,115.0,123.0,34.0,21.0,8.0,0.0,13.0,34,67.0,30.0,1.0,Tom Davies
Keinan Davis,ENG,FWMF,Aston Villa,Premier League,22.0,1998.0,3.1,3.0,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,63.0,16.0,25.4,4.0,33.0,26.0,2.0,1.0,0.0,1.0,0,3.0,2.0,0.0,Keinan Davis
Leif Davis,ENG,DF,Leeds United,Premier League,20.0,2000.0,0.4,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,0.0,0.0,5.0,6.0,1.0,3.0,1.0,0.0,2.0,2,2.0,0.0,0.0,Leif Davis
Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,25.0,1995.0,20.7,42.0,30,26.0,13.0,3.0,13.0,26.0,50.0,13.0,297.0,87.0,29.3,146.0,130.0,21.0,37.0,19.0,0.0,18.0,26,68.0,99.0,0.0,Pawel Dawidowicz
Craig Dawson,ENG,DF,West Ham,Premier League,30.0,1990.0,21.4,13.0,11,13.0,0.0,0.0,3.0,12.0,25.0,9.0,145.0,45.0,31.0,96.0,46.0,3.0,32.0,25.0,1.0,7.0,39,52.0,133.0,1.0,Craig Dawson
Kevin De Bruyne,BEL,MF,Manchester City,Premier League,29.0,1991.0,22.2,37.0,31,8.0,19.0,10.0,10.0,52.0,19.2,42.0,376.0,122.0,32.4,46.0,175.0,155.0,27.0,2.0,0.0,25.0,16,53.0,7.0,0.0,Kevin De Bruyne
Sebastien De Maio,FRA,DF,Udinese,Serie A,33.0,1987.0,9.5,20.0,13,8.0,12.0,0.0,4.0,5.0,80.0,1.0,111.0,40.0,36.0,74.0,34.0,3.0,17.0,11.0,1.0,6.0,13,33.0,45.0,0.0,Sebastien De Maio
Rodrigo De Paul,ARG,MF,Udinese,Serie A,26.0,1994.0,35.6,44.0,29,21.0,21.0,2.0,20.0,62.0,32.3,42.0,489.0,136.0,27.8,189.0,194.0,106.0,59.0,2.0,0.0,57.0,19,63.0,23.0,1.0,Rodrigo De Paul
Mattia De Sciglio,ITA,DF,Lyon,Ligue 1,27.0,1992.0,16.3,34.0,23,18.0,10.0,6.0,15.0,27.0,55.6,12.0,173.0,61.0,35.3,61.0,74.0,38.0,37.0,8.0,0.0,29.0,36,70.0,47.0,1.0,Mattia De Sciglio
Mattia De Sciglio,ITA,DF,Juventus,Serie A,27.0,1992.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,Mattia De Sciglio
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,32.0,1988.0,23.8,37.0,17,21.0,12.0,4.0,15.0,37.0,40.5,22.0,279.0,79.0,28.3,129.0,108.0,42.0,67.0,9.0,0.0,58.0,28,65.0,73.0,2.0,Lorenzo De Silvestri
Thibault De Smet,BEL,DF,Reims,Ligue 1,22.0,1998.0,5.5,12.0,8,6.0,6.0,0.0,3.0,14.0,21.4,11.0,94.0,32.0,34.0,47.0,38.0,9.0,19.0,2.0,0.0,17.0,5,17.0,25.0,0.0,Thibault De Smet
Lucas Deaux,FRA,MFDF,Nîmes,Ligue 1,31.0,1988.0,19.5,59.0,38,28.0,26.0,5.0,18.0,61.0,29.5,43.0,472.0,144.0,30.5,148.0,251.0,73.0,26.0,6.0,0.0,20.0,14,73.0,44.0,4.0,Lucas Deaux
Mathieu Debuchy,FRA,DF,Saint-Étienne,Ligue 1,35.0,1985.0,23.4,66.0,37,43.0,17.0,6.0,37.0,64.0,57.8,27.0,296.0,88.0,29.7,155.0,106.0,35.0,49.0,11.0,0.0,38.0,47,113.0,84.0,1.0,Mathieu Debuchy
Grégoire Defrel,MTQ,FWMF,Sassuolo,Serie A,29.0,1991.0,14.9,17.0,12,6.0,3.0,8.0,3.0,9.0,33.3,6.0,235.0,65.0,27.7,35.0,101.0,99.0,16.0,1.0,0.0,15.0,8,25.0,2.0,1.0,Gregoire Defrel
Alessandro Deiola,ITA,MF,Spezia,Serie A,24.0,1995.0,4.0,9.0,6,5.0,4.0,0.0,5.0,9.0,55.6,4.0,78.0,20.0,25.6,21.0,43.0,14.0,4.0,1.0,0.0,3.0,2,11.0,2.0,0.0,Alessandro Deiola
Alessandro Deiola,ITA,MF,Cagliari,Serie A,24.0,1995.0,6.8,13.0,7,7.0,2.0,4.0,4.0,18.0,22.2,14.0,128.0,27.0,21.1,52.0,57.0,19.0,12.0,3.0,0.0,9.0,15,28.0,17.0,0.0,Alessandro Deiola
Romain Del Castillo,FRA,MFFW,Rennes,Ligue 1,24.0,1996.0,7.2,33.0,23,7.0,17.0,9.0,8.0,23.0,34.8,15.0,181.0,67.0,37.0,35.0,80.0,66.0,9.0,0.0,0.0,9.0,4,37.0,2.0,0.0,Romain Del Castillo
Lorenzo Del Pinto,ITA,MF,Benevento,Serie A,30.0,1990.0,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Lorenzo Del Pinto
Thomas Delaine,FRA,DF,Metz,Ligue 1,28.0,1992.0,19.8,37.0,18,23.0,11.0,3.0,16.0,37.0,43.2,21.0,217.0,41.0,18.9,97.0,86.0,34.0,35.0,5.0,0.0,30.0,16,53.0,36.0,1.0,Thomas Delaine
Thomas Delaney,DEN,MF,Dortmund,Bundesliga,28.0,1991.0,14.3,49.0,37,19.0,22.0,8.0,16.0,35.0,45.7,19.0,274.0,100.0,36.5,105.0,135.0,34.0,33.0,10.0,0.0,23.0,24,73.0,28.0,1.0,Thomas Delaney
Liam Delap,ENG,FW,Manchester City,Premier League,17.0,2003.0,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,1.0,16.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Liam Delap
Jonathan Delaplace,FRA,DF,Lorient,Ligue 1,34.0,1986.0,10.1,18.0,12,13.0,3.0,2.0,8.0,17.0,47.1,9.0,136.0,42.0,30.9,65.0,55.0,16.0,19.0,5.0,0.0,14.0,20,38.0,26.0,1.0,Jonathan Delaplace
Sacha Delaye,FRA,MF,Montpellier,Ligue 1,18.0,2002.0,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0.0,Sacha Delaye
Cristian Dell'Orco,ITA,DF,Spezia,Serie A,26.0,1994.0,2.9,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,18.0,7.0,38.9,8.0,5.0,5.0,11.0,6.0,0.0,5.0,4,5.0,7.0,0.0,Cristian DellOrco
Andy Delort,ALG,FW,Montpellier,Ligue 1,28.0,1991.0,27.6,18.0,15,2.0,10.0,6.0,4.0,16.0,25.0,12.0,239.0,67.0,28.0,33.0,91.0,115.0,12.0,2.0,0.0,10.0,4,22.0,28.0,0.0,Andy Delort
Fabian Delph,ENG,MFDF,Everton,Premier League,30.0,1989.0,3.0,5.0,2,3.0,2.0,0.0,1.0,2.0,50.0,1.0,30.0,6.0,20.0,12.0,18.0,0.0,4.0,0.0,0.0,4.0,4,9.0,3.0,0.0,Fabian Delph
Moussa Dembélé,FRA,FW,Lyon,Ligue 1,24.0,1996.0,7.5,3.0,3,0.0,1.0,2.0,1.0,5.0,20.0,4.0,80.0,24.0,30.0,1.0,28.0,51.0,8.0,4.0,0.0,4.0,2,5.0,9.0,0.0,Moussa Dembele
Moussa Dembélé,FRA,FWMF,Atlético Madrid,La Liga,24.0,1996.0,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,5.0,31.3,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Moussa Dembele
Ousmane Dembélé,FRA,FWDF,Barcelona,La Liga,23.0,1997.0,19.7,17.0,10,4.0,10.0,3.0,5.0,14.0,35.7,9.0,285.0,65.0,22.8,33.0,116.0,136.0,22.0,0.0,0.0,22.0,14,31.0,2.0,0.0,Ousmane Dembele
Merih Demiral,TUR,DF,Juventus,Serie A,22.0,1998.0,10.4,17.0,11,12.0,5.0,0.0,3.0,9.0,33.3,6.0,106.0,31.0,29.2,61.0,37.0,8.0,18.0,8.0,0.0,10.0,12,29.0,39.0,0.0,Merih Demiral
Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,27.0,1993.0,19.4,51.0,35,14.0,31.0,6.0,15.0,44.0,34.1,29.0,444.0,161.0,36.3,107.0,239.0,98.0,25.0,4.0,0.0,21.0,13,64.0,10.0,1.0,Kerem Demirbay
Ermedin Demirović,BIH,FW,Freiburg,Bundesliga,22.0,1998.0,16.6,17.0,13,4.0,6.0,7.0,1.0,19.0,5.3,18.0,376.0,96.0,25.5,32.0,161.0,183.0,31.0,5.0,0.0,26.0,5,22.0,23.0,1.0,Ermedin Demirovic
Diego Demme,GER,MF,Napoli,Serie A,28.0,1991.0,17.7,62.0,37,24.0,29.0,9.0,18.0,63.0,28.6,45.0,428.0,125.0,29.2,134.0,216.0,78.0,16.0,1.0,0.0,15.0,17,79.0,23.0,0.0,Diego Demme
Jason Denayer,BEL,DF,Lyon,Ligue 1,25.0,1995.0,29.0,34.0,21,23.0,11.0,0.0,8.0,14.0,57.1,6.0,179.0,74.0,41.3,87.0,83.0,9.0,69.0,32.0,1.0,37.0,22,56.0,121.0,2.0,Jason Denayer
Leander Dendoncker,BEL,MFDF,Wolves,Premier League,25.0,1995.0,27.8,49.0,29,31.0,15.0,3.0,23.0,61.0,37.7,38.0,494.0,149.0,30.2,223.0,224.0,47.0,59.0,15.0,0.0,44.0,27,76.0,75.0,0.0,Leander Dendoncker
Kevin Denkey,TOG,FW,Nîmes,Ligue 1,19.0,2000.0,5.8,3.0,3,0.0,2.0,1.0,1.0,4.0,25.0,3.0,90.0,17.0,18.9,5.0,37.0,48.0,2.0,0.0,0.0,2.0,2,5.0,3.0,0.0,Kevin Denkey
Emmanuel Dennis,NGA,FW,Köln,Bundesliga,22.0,1997.0,5.3,12.0,7,5.0,2.0,5.0,2.0,6.0,33.3,4.0,131.0,29.0,22.1,16.0,53.0,62.0,5.0,0.0,0.0,5.0,3,15.0,0.0,0.0,Emmanuel Dennis
Stefano Denswil,NED,DF,Bologna,Serie A,27.0,1993.0,1.3,2.0,2,0.0,1.0,1.0,1.0,2.0,50.0,1.0,21.0,7.0,33.3,14.0,6.0,1.0,3.0,0.0,0.0,3.0,1,3.0,4.0,0.0,Stefano Denswil
Fabio Depaoli,ITA,DF,Benevento,Serie A,23.0,1997.0,12.4,29.0,15,15.0,8.0,6.0,15.0,29.0,51.7,14.0,219.0,69.0,31.5,104.0,81.0,34.0,31.0,6.0,0.0,25.0,16,45.0,39.0,1.0,Fabio Depaoli
Fabio Depaoli,ITA,MF,Sampdoria,Serie A,23.0,1997.0,0.9,1.0,0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,18.0,4.0,22.2,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0.0,Fabio Depaoli
Fabio Depaoli,ITA,DF,Atalanta,Serie A,23.0,1997.0,2.1,3.0,1,0.0,0.0,3.0,0.0,2.0,0.0,2.0,31.0,9.0,29.0,9.0,10.0,12.0,9.0,0.0,0.0,9.0,1,4.0,3.0,0.0,Fabio Depaoli
Memphis Depay,NED,FW,Lyon,Ligue 1,26.0,1994.0,32.5,7.0,6,0.0,3.0,4.0,1.0,20.0,5.0,19.0,330.0,74.0,22.4,8.0,118.0,204.0,14.0,2.0,0.0,12.0,9,16.0,1.0,0.0,Memphis Depay
Clément Depres,FRA,MF,Nîmes,Ligue 1,25.0,1994.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Clement Depres
Mike van der Hoorn,NED,DF,Arminia,Bundesliga,27.0,1992.0,15.1,8.0,7,2.0,6.0,0.0,1.0,5.0,20.0,4.0,79.0,32.0,40.5,50.0,27.0,2.0,22.0,7.0,0.0,15.0,8,16.0,102.0,1.0,Mike van der Hoorn
Kastriot Dermaku,ALB,DF,Parma,Serie A,28.0,1992.0,1.1,1.0,0,0.0,1.0,0.0,0.0,0.0,,0.0,11.0,3.0,27.3,7.0,4.0,0.0,3.0,1.0,0.0,2.0,1,2.0,8.0,0.0,Kastriot Dermaku
Kiril Despodov,BUL,FW,Cagliari,Serie A,23.0,1996.0,0.1,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,2.0,40.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,Kiril Despodov
Sergiño Dest,USA,DF,Barcelona,La Liga,19.0,2000.0,21.2,31.0,19,23.0,5.0,3.0,12.0,25.0,48.0,13.0,319.0,93.0,29.2,135.0,103.0,81.0,43.0,5.0,0.0,38.0,17,48.0,23.0,0.0,Sergino Dest
Mattia Destro,ITA,FW,Genoa,Serie A,29.0,1991.0,17.8,10.0,7,1.0,4.0,5.0,2.0,9.0,22.2,7.0,269.0,65.0,24.2,22.0,111.0,136.0,16.0,1.0,0.0,15.0,2,12.0,11.0,0.0,Mattia Destro
Gerard Deulofeu,ESP,FW,Udinese,Serie A,26.0,1994.0,6.6,2.0,2,0.0,0.0,2.0,1.0,10.0,10.0,9.0,118.0,30.0,25.4,19.0,48.0,51.0,2.0,0.0,0.0,2.0,3,5.0,0.0,0.0,Gerard Deulofeu
Deyverson,BRA,FW,Alavés,La Liga,29.0,1991.0,9.7,8.0,6,4.0,2.0,2.0,4.0,14.0,28.6,10.0,171.0,50.0,29.2,15.0,84.0,72.0,18.0,0.0,0.0,18.0,10,18.0,13.0,0.0,Deyverson
Jacopo Dezi,ITA,FWMF,Parma,Serie A,28.0,1992.0,0.9,2.0,1,0.0,1.0,1.0,1.0,4.0,25.0,3.0,22.0,3.0,13.6,3.0,12.0,7.0,4.0,0.0,0.0,4.0,1,3.0,0.0,0.0,Jacopo Dezi
Samuel Di Carmine,ITA,FW,Hellas Verona,Serie A,31.0,1988.0,5.6,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,64.0,16.0,25.0,4.0,23.0,37.0,1.0,1.0,0.0,0.0,0,0.0,7.0,0.0,Samuel Di Carmine
Samuel Di Carmine,ITA,FW,Crotone,Serie A,31.0,1988.0,5.3,5.0,2,2.0,1.0,2.0,1.0,3.0,33.3,2.0,47.0,8.0,17.0,6.0,27.0,14.0,3.0,0.0,0.0,3.0,1,6.0,5.0,0.0,Samuel Di Carmine
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,26.0,1993.0,36.0,85.0,57,53.0,24.0,8.0,38.0,78.0,48.7,40.0,437.0,141.0,32.3,199.0,153.0,85.0,65.0,13.0,0.0,52.0,40,125.0,64.0,0.0,Giovanni Di Lorenzo
Ángel Di María,ARG,FWMF,Paris S-G,Ligue 1,32.0,1988.0,20.6,33.0,22,8.0,13.0,12.0,16.0,50.0,32.0,34.0,320.0,92.0,28.8,52.0,113.0,155.0,25.0,1.0,0.0,24.0,7,40.0,5.0,0.0,Angel Di Maria
Alessandro Di Pardo,ITA,MFDF,Juventus,Serie A,21.0,1999.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Alessandro Di Pardo
Giuseppe Di Serio,ITA,FWMF,Benevento,Serie A,19.0,2001.0,3.2,2.0,2,2.0,0.0,0.0,1.0,6.0,16.7,5.0,64.0,10.0,15.6,17.0,28.0,19.0,4.0,0.0,0.0,4.0,1,3.0,1.0,0.0,Giuseppe Di Serio
Boulaye Dia,SEN,FWMF,Reims,Ligue 1,23.0,1996.0,32.6,28.0,17,8.0,9.0,11.0,4.0,22.0,18.2,18.0,413.0,104.0,25.2,59.0,160.0,194.0,18.0,3.0,0.0,15.0,16,44.0,31.0,0.0,Boulaye Dia
Abdoulay Diaby,MLI,MF,Getafe,La Liga,29.0,1991.0,0.2,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0,1.0,0.0,0.0,Abdoulay Diaby
Moussa Diaby,FRA,FWMF,Leverkusen,Bundesliga,21.0,1999.0,26.5,13.0,7,6.0,5.0,2.0,2.0,16.0,12.5,14.0,283.0,73.0,25.8,40.0,130.0,113.0,16.0,0.0,0.0,16.0,19,32.0,10.0,0.0,Moussa Diaby
Mbaye Diagne,SEN,FW,West Brom,Premier League,28.0,1991.0,13.2,8.0,4,3.0,2.0,3.0,1.0,4.0,25.0,3.0,138.0,40.0,29.0,13.0,44.0,81.0,7.0,1.0,0.0,6.0,2,10.0,17.0,0.0,Mbaye Diagne
Mouctar Diakhaby,FRA,DF,Valencia,La Liga,23.0,1996.0,23.1,21.0,15,14.0,7.0,0.0,10.0,14.0,71.4,4.0,157.0,54.0,34.4,94.0,57.0,6.0,51.0,26.0,0.0,25.0,10,31.0,135.0,1.0,Mouctar Diakhaby
Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,24.0,1996.0,16.6,23.0,15,13.0,8.0,2.0,8.0,14.0,57.1,6.0,126.0,41.0,32.5,56.0,59.0,11.0,23.0,8.0,0.0,15.0,17,40.0,46.0,2.0,Abdou Diallo
Amad Diallo,CIV,FW,Manchester Utd,Premier League,18.0,2002.0,1.8,3.0,3,1.0,2.0,0.0,0.0,0.0,,0.0,50.0,14.0,28.0,13.0,21.0,16.0,2.0,1.0,0.0,1.0,3,6.0,3.0,0.0,Amad Diallo
Amad Diallo,CIV,MF,Atalanta,Serie A,18.0,2002.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Amad Diallo
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,25.0,1995.0,25.8,12.0,10,5.0,5.0,2.0,3.0,14.0,21.4,11.0,264.0,72.0,27.3,29.0,120.0,115.0,16.0,3.0,0.0,13.0,13,25.0,14.0,1.0,Habib Diallo
Habib Diallo,SEN,FW,Metz,Ligue 1,25.0,1995.0,1.6,1.0,0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,19.0,6.0,31.6,2.0,7.0,10.0,1.0,0.0,0.0,1.0,0,1.0,5.0,0.0,Habib Diallo
Ibrahima Diallo,FRA,MF,Southampton,Premier League,21.0,1999.0,11.3,30.0,25,14.0,14.0,2.0,9.0,23.0,39.1,14.0,242.0,82.0,33.9,81.0,144.0,17.0,14.0,1.0,0.0,13.0,16,46.0,16.0,0.0,Ibrahima Diallo
Ibrahima Diallo,FRA,MF,Brest,Ligue 1,21.0,1999.0,4.9,9.0,8,1.0,6.0,2.0,2.0,7.0,28.6,5.0,85.0,24.0,28.2,22.0,51.0,12.0,4.0,0.0,0.0,4.0,3,12.0,3.0,0.0,Ibrahima Diallo
Amadou Diambo,GHA,FW,Benevento,Serie A,19.0,2001.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Amadou Diambo
Grady Diangana,ENG,MFFW,West Brom,Premier League,22.0,1998.0,13.7,35.0,19,22.0,5.0,8.0,14.0,36.0,38.9,22.0,309.0,67.0,21.7,142.0,96.0,71.0,30.0,2.0,0.0,28.0,14,49.0,5.0,1.0,Grady Diangana
Stéphane Diarra,FRA,FWMF,Lorient,Ligue 1,21.0,1998.0,2.2,1.0,1,1.0,0.0,0.0,0.0,9.0,0.0,9.0,48.0,10.0,20.8,13.0,21.0,14.0,7.0,1.0,0.0,6.0,0,1.0,0.0,0.0,Stephane Diarra
Raphael Dias Belloli,BRA,MF,Leeds United,Premier League,23.0,1996.0,26.2,38.0,19,15.0,14.0,9.0,13.0,55.0,23.6,42.0,402.0,98.0,24.4,111.0,160.0,131.0,39.0,1.0,0.0,38.0,31,69.0,33.0,0.0,Raphael Dias Belloli
Raphael Dias Belloli,BRA,FWMF,Rennes,Ligue 1,23.0,1996.0,4.5,6.0,2,2.0,3.0,1.0,1.0,6.0,16.7,5.0,64.0,11.0,17.2,16.0,24.0,24.0,6.0,0.0,0.0,6.0,4,10.0,2.0,0.0,Raphael Dias Belloli
