Serie_A_rank,Team,Player,KM_RUN_avg,Total_minutes
295,[INTER] ,Ashley Young ,8.403,1500
296,[GENOA] ,Mattia Destro ,8.378,1684
297,[CROTONE] ,Jacopo Petriccione ,8.372,1013
298,[HELLAS VERONA] ,Matteo Lovato ,8.371,1477
299,[NAPOLI] ,Hirving Lozano ,8.365,2082
300,[BOLOGNA] ,Paolo Farago' ,8.346,421
301,[GENOA] ,Paolo Ghiglione ,8.326,1442
302,[PARMA] ,Yann Karamoh ,8.315,1368
303,[GENOA] ,Eldor Shomurodov ,8.305,1774
304,[HELLAS VERONA] ,Giangiacomo Magnani ,8.271,1618
305,[MILAN] ,Soualiho Meite' ,8.267,1628
306,[INTER] ,Arturo Vidal ,8.263,1203
307,[LAZIO] ,Mateo Musacchio ,8.259,283
308,[ATALANTA] ,Ruslan Malinovskyi ,8.255,1967
309,,Nehuen Paz ,8.243,385
310,[SASSUOLO] ,Mert Muldur ,8.241,1769
311,[INTER] ,Matteo Darmian ,8.238,1454
312,[UDINESE] ,Ignacio Pussetto ,8.236,796
313,[CROTONE] ,Luca Cigarini ,8.232,976
314,[PARMA] ,Graziano Pelle' ,8.225,657
315,[ROMA] ,Amadou Diawara ,8.213,709
316,[BOLOGNA] ,Valentin Antov ,8.204,239
317,[CAGLIARI] ,Giovanni Simeone ,8.157,1847
318,[MILAN] ,Zlatan Ibrahimovic ,8.154,1582
319,[FIORENTINA] ,Valentin Eysseric ,8.147,794
320,,Alan Empereur ,8.142,231
321,[SAMPDORIA] ,Mikkel Damsgaard ,8.139,1879
322,[SASSUOLO] ,Hamed Junior Traore ,8.137,1893
323,[NAPOLI] ,Matteo Politano ,8.111,2011
324,[BENEVENTO] ,Bryan Dabo ,8.057,1210
325,[SPEZIA] ,Leo Sena ,8.056,936
326,[LAZIO] ,Mohamed Fares ,8.028,1218
327,,Alejandro Gomez ,8.022,693
328,[SASSUOLO] ,Giacomo Raspadori ,8.021,1317
329,,Fabio Pisacane ,8.021,251
330,[ATALANTA] ,Mario Pasalic ,8.016,1201
331,[BOLOGNA] ,Mattias Svanberg ,7.985,1939
332,[SASSUOLO] ,Kaan Ayhan ,7.946,872
333,[PARMA] ,Lautaro Valenti ,7.92,543
334,[GENOA] ,Luca Pellegrini ,7.879,690
335,[CAGLIARI] ,Alessandro Deiola ,7.873,1050
336,[BOLOGNA] ,Riccardo Orsolini ,7.867,1856
337,[BENEVENTO] ,Gianluca Caprari ,7.865,1951
338,[ROMA] ,Davide Santon ,7.856,613
339,[ROMA] ,Bruno Peres ,7.746,1532
340,[SPEZIA] ,Riccardo Saponara ,7.742,481
341,[ATALANTA] ,Duvan Zapata ,7.729,2461
342,,Matteo Scozzarella ,7.717,155
343,[GENOA] ,Gianluca Scamacca ,7.638,1451
344,[BOLOGNA] ,Ibrahima Mbaye ,7.634,457
345,[SPEZIA] ,Jacopo Sala ,7.624,403
346,[NAPOLI] ,Dries Mertens ,7.609,1531
347,[PARMA] ,Valentin Mihaila ,7.602,758
348,[ROMA] ,Carles Perez ,7.587,832
349,[BENEVENTO] ,Roberto Insigne ,7.545,1693
350,[BOLOGNA] ,Nicola Sansone ,7.537,1251
351,,Cristiano Piccini ,7.509,61
352,[BENEVENTO] ,Daam Foulon ,7.497,1092
353,[TORINO] ,Simone Zaza ,7.478,1619
354,[HELLAS VERONA] ,Nikola Kalinic ,7.443,1115
355,[CAGLIARI] ,Riccardo Sottil ,7.443,1247
356,[FIORENTINA] ,Kevin Malcuit ,7.436,265
357,[BOLOGNA] ,Nicolas Dominguez ,7.435,1325
358,[NAPOLI] ,Andrea Petagna ,7.424,1063
359,[SAMPDORIA] ,Manolo Gabbiadini ,7.417,918
360,,Johan Mojica ,7.401,329
361,[BOLOGNA] ,Andreas Skov Olsen ,7.395,1250
362,[GENOA] ,Goran Pandev ,7.368,1487
363,[GENOA] ,Jerome Onguene' ,7.345,197
364,[TORINO] ,Simone Verdi ,7.279,1731
365,[ATALANTA] ,Josip Ilicic ,7.24,1586
366,[MILAN] ,Brahim Diaz ,7.239,1317
